game_id,game_context_tag,home_score,away_score,overtime,location,roof,surface,temp,wind,away_rest,home_rest,perc,opening_adj,adj_8,ap_8,ap_8_away,adj_9,ap_9,ap_9_away,adj_10,ap_10,ap_10_away,adj_16,ap_16,ap_16_away,adj_20,ap_20,ap_20_away,adj_28,ap_28,ap_28_away,adj_29,ap_29,ap_29_away,adj_36,ap_36,ap_36_away,adj_44,ap_44,ap_44_away,adj_54,ap_54,ap_54_away,adj_82,ap_82,ap_82_away,adj_84,ap_84,ap_84_away,adj_123,ap_123,ap_123_away,adj_127,ap_127,ap_127_away,adj_130,ap_130,ap_130_away
2018_01_ATL_PHI,REG_0_Thu_2020,18.0,12.0,0.0,Home,outdoors,grass,81.0,8.0,7,7,45.68,-5.5,0.0,-110.0,-110.0,1.0,-110.0,-110.0,0.0,-115.0,-105.0,0.0,-115.0,-105.0,-1.0,101.0,-111.0,0.0,-110.0,-110.0,-1.0,-105.0,-115.0,0.0,-110.0,-110.0,1.0,-105.0,-105.0,1.0,-116.0,-104.0,1.0,-105.0,-115.0,0.0,-110.0,-110.0,,,,,,,,,
2018_01_BUF_BAL,REG_0_Sun_1300,47.0,3.0,0.0,Home,outdoors,grass,61.0,12.0,7,7,66.17,-3.0,-7.5,-115.0,-105.0,-8.0,-110.0,-110.0,-7.5,-110.0,-110.0,-7.5,-110.0,-110.0,-7.5,-104.0,-106.0,-7.5,-110.0,-110.0,-7.5,-110.0,-110.0,-7.5,-110.0,-110.0,-7.5,-105.0,-105.0,-7.5,-115.0,-105.0,-8.5,-110.0,-110.0,-7.5,-115.0,-105.0,,,,,,,,,
2018_01_PIT_CLE,REG_1_Sun_1300,21.0,21.0,1.0,Home,outdoors,grass,58.0,11.0,7,7,45.93,6.5,3.5,-114.0,-106.0,3.5,-110.0,-110.0,3.0,105.0,-125.0,3.0,105.0,-125.0,3.5,-116.0,105.0,3.5,-120.0,100.0,3.5,-120.0,100.0,3.5,-120.0,100.0,3.5,-110.0,100.0,3.5,-116.0,-104.0,4.0,-110.0,-110.0,3.0,100.0,-120.0,,,,,,,,,
2018_01_CIN_IND,REG_0_Sun_1300,23.0,34.0,0.0,Home,closed,fieldturf,,,7,7,33.64,-1.5,1.0,-115.0,-105.0,1.0,-110.0,-110.0,-1.0,-105.0,-115.0,-1.0,-105.0,-115.0,1.0,-113.0,102.0,0.0,-110.0,-110.0,1.0,-115.0,-105.0,1.0,-110.0,-110.0,1.0,-105.0,-105.0,1.0,-108.0,-112.0,1.5,-110.0,-110.0,0.0,-110.0,-110.0,,,,,,,,,
2018_01_TEN_MIA,REG_0_Sun_1300,27.0,20.0,0.0,Home,outdoors,grass,89.0,7.0,7,7,45.38,1.5,0.0,-110.0,-110.0,1.0,-110.0,-110.0,0.0,-108.0,-113.0,0.0,-108.0,-113.0,1.0,-103.0,-107.0,0.0,-110.0,-110.0,0.0,-110.0,-110.0,0.0,-110.0,-110.0,-1.0,-105.0,-105.0,-1.0,-108.0,-112.0,1.5,-110.0,-110.0,0.0,-110.0,-110.0,,,,,,,,,
2018_01_SF_MIN,REG_0_Sun_1300,24.0,16.0,0.0,Home,dome,sportturf,,,7,7,58.75,-5.0,-6.0,-113.0,-107.0,-6.5,-110.0,-110.0,-6.5,-104.0,-116.0,-6.5,-104.0,-116.0,-6.0,-108.0,-102.0,-6.0,-110.0,-110.0,-6.0,-110.0,-110.0,-6.0,-110.0,-110.0,-6.0,-105.0,-105.0,-6.0,-109.0,-111.0,-6.5,-105.0,-115.0,-6.5,100.0,-120.0,,,,,,,,,
2018_01_HOU_NE,REG_0_Sun_1300,27.0,20.0,0.0,Home,outdoors,fieldturf,62.0,10.0,7,7,43.3,-6.5,-6.5,-102.0,-118.0,-6.5,-110.0,-110.0,-6.5,100.0,-121.0,-6.5,100.0,-121.0,-6.0,-105.0,-105.0,-6.0,-110.0,-110.0,-6.5,-105.0,-115.0,-6.5,-105.0,-116.0,-6.0,-105.0,-105.0,-6.0,-107.0,-113.0,-6.0,-110.0,-110.0,-6.0,-120.0,100.0,,,,,,,,,
2018_01_TB_NO,REG_1_Sun_1300,40.0,48.0,0.0,Home,dome,sportturf,,,7,7,58.14,-7.0,-10.0,-105.0,-115.0,-10.0,-115.0,-105.0,-10.0,-109.0,-111.0,-10.0,-109.0,-111.0,-10.0,-102.0,-108.0,-10.0,-105.0,-115.0,-10.0,-110.0,-110.0,-10.0,-110.0,-110.0,-10.0,-105.0,-105.0,-10.0,-107.0,-113.0,-10.5,-115.0,-105.0,-10.0,-115.0,-105.0,,,,,,,,,
2018_01_JAX_NYG,REG_0_Sun_1300,15.0,20.0,0.0,Home,outdoors,fieldturf,59.0,7.0,7,7,55.61,3.0,3.0,-122.0,102.0,3.0,-120.0,100.0,3.0,-125.0,105.0,3.0,-125.0,105.0,2.5,106.0,-117.0,2.5,-105.0,-115.0,2.5,-105.0,-115.0,2.5,-105.0,-116.0,2.5,100.0,-110.0,2.5,-106.0,-114.0,2.5,-105.0,-115.0,3.0,-130.0,110.0,,,,,,,,,
2018_01_KC_LAC,REG_1_Sun_1605,28.0,38.0,0.0,Home,outdoors,grass,84.0,8.0,7,7,55.68,-3.0,-3.0,-125.0,105.0,-3.0,-135.0,115.0,-3.0,-125.0,105.0,-3.5,-105.0,-115.0,-3.5,-106.0,-104.0,-3.5,-105.0,-115.0,-3.5,-105.0,-115.0,-3.5,-110.0,-110.0,-3.0,-130.0,120.0,-3.0,-132.0,112.0,-3.5,-110.0,-110.0,-3.5,100.0,-120.0,,,,,,,,,
