eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds
3452672,1523,479,2018,1,Mon 9/10,7:10 PM,N.Y. Jets,48,FINAL,52.87,2120.0,47.33,8610.0,54.61,1540.0,250.0,6.5,-110.0,43.5,-110.0,285.0,7.0,-103.0,44.0,-110.0,270.0,7.0,-105.0,44.5,-105.0,281.0,7.0,-110.0,44.0,-108.0,281.0,7.0,-110.0,44.0,-108.0,297.0,7.0,103.0,44.0,-105.0,265.0,7.0,-110.0,44.0,-110.0,275.0,7.0,-105.0,44.0,-110.0,265.0,7.0,-110.0,44.0,-110.0,275.0,7.0,-105.0,44.0,-105.0,275.0,7.0,-110.0,44.5,-106.0,275.0,7.0,100.0,44.5,-115.0,265.0,7.0,-110.0,44.0,-110.0
3452672,1539,480,2018,1,,,Detroit,17,,47.13,1890.0,52.67,9580.0,45.39,1280.0,-300.0,-6.5,-110.0,43.5,-110.0,-340.0,-7.0,-117.0,44.0,-110.0,-340.0,-7.0,-115.0,44.5,-115.0,-350.0,-7.0,-110.0,44.0,-113.0,-350.0,-7.0,-110.0,44.0,-113.0,-339.0,-7.0,-114.0,44.0,-105.0,-325.0,-7.0,-110.0,44.0,-110.0,-340.0,-7.0,-115.0,44.0,-110.0,-333.0,-7.0,-110.0,44.0,-110.0,-345.0,-7.0,-105.0,44.0,-105.0,-345.0,-7.0,-110.0,44.5,-114.0,-350.0,-7.0,-120.0,44.5,-105.0,-325.0,-7.0,-110.0,44.0,-110.0
3452673,1550,481,2018,1,Mon 9/10,10:20 PM,L.A. Rams,33,FINAL,51.17,9850.0,60.32,71050.0,50.62,14810.0,,0.0,-110.0,50.0,-110.0,-275.0,-6.0,-113.0,47.5,-110.0,-280.0,-7.0,-105.0,48.0,-105.0,-280.0,-6.0,-105.0,47.5,-110.0,-280.0,-6.0,-105.0,47.5,-110.0,-238.0,-6.0,-104.0,47.5,-102.0,-255.0,-6.0,-110.0,47.0,-110.0,-255.0,-6.5,-105.0,47.5,-105.0,-280.0,-6.0,-110.0,47.5,-110.0,-285.0,-6.0,-105.0,47.5,-105.0,-284.0,-6.0,-111.0,47.5,-112.0,-325.0,-6.5,-120.0,48.0,-115.0,-290.0,-6.5,-120.0,47.5,-110.0
3452673,1533,482,2018,1,,,Oakland,13,,48.83,9400.0,39.68,46740.0,49.38,14450.0,,0.0,-110.0,50.0,-110.0,230.0,6.0,-107.0,47.5,-110.0,240.0,7.0,-115.0,48.0,-115.0,230.0,6.0,-115.0,47.5,-110.0,230.0,6.0,-115.0,47.5,-110.0,212.0,6.0,-106.0,47.5,-108.0,215.0,6.0,-110.0,47.0,-110.0,215.0,6.5,-115.0,47.5,-115.0,230.0,6.0,-110.0,47.5,-110.0,235.0,6.0,-105.0,47.5,-105.0,234.0,6.0,-109.0,47.5,-108.0,265.0,6.5,100.0,48.0,-105.0,240.0,6.5,100.0,47.5,-110.0
3452656,1547,455,2018,1,Sun 9/9,1:00 PM,San Francisco,16,FINAL,54.65,1470.0,41.25,6250.0,33.54,1080.0,195.0,5.0,-110.0,46.5,-110.0,235.0,6.0,-107.0,46.5,-110.0,225.0,6.5,-110.0,46.0,-110.0,230.0,6.5,-116.0,46.0,-111.0,230.0,6.5,-116.0,46.0,-111.0,238.0,6.0,-102.0,46.5,-106.0,215.0,6.0,-110.0,46.5,-110.0,225.0,6.0,-110.0,46.5,-110.0,225.0,6.0,-110.0,46.5,-110.0,230.0,6.0,-105.0,45.5,-105.0,232.0,6.0,-111.0,46.5,-108.0,225.0,6.5,-115.0,46.5,-110.0,215.0,6.5,-120.0,46.5,-110.0
3452656,1541,456,2018,1,,,Minnesota,24,,45.35,1220.0,58.75,8900.0,66.46,2140.0,-225.0,-5.0,-110.0,46.5,-110.0,-280.0,-6.0,-113.0,46.5,-110.0,-265.0,-6.5,-110.0,46.0,-110.0,-280.0,-6.5,-104.0,46.0,-109.0,-280.0,-6.5,-104.0,46.0,-109.0,-268.0,-6.0,-108.0,46.5,-104.0,-265.0,-6.0,-110.0,46.5,-110.0,-265.0,-6.0,-110.0,46.5,-110.0,-278.0,-6.0,-110.0,46.5,-110.0,-280.0,-6.0,-105.0,45.5,-105.0,-282.0,-6.0,-109.0,46.5,-112.0,-275.0,-6.5,-105.0,46.5,-110.0,-265.0,-6.5,100.0,46.5,-110.0
3452658,1530,465,2018,1,Sun 9/9,1:00 PM,Houston,20,FINAL,59.2,2380.0,56.7,9940.0,46.86,1420.0,245.0,6.5,-110.0,51.5,-110.0,210.0,6.5,-118.0,49.5,-104.0,210.0,6.5,-110.0,50.0,-110.0,218.0,6.5,-121.0,49.0,-110.0,218.0,6.5,-121.0,49.0,-110.0,214.0,6.0,-105.0,49.5,108.0,210.0,6.0,-110.0,49.5,-110.0,210.0,6.5,-115.0,49.0,-110.0,215.0,6.5,-116.0,49.5,-110.0,215.0,6.0,-105.0,49.0,-105.0,227.0,6.0,-113.0,49.0,-111.0,215.0,6.0,-110.0,49.0,-110.0,210.0,6.0,100.0,49.5,-105.0
3452658,1525,466,2018,1,,,New England,27,,40.8,1640.0,43.3,7590.0,53.14,1610.0,-290.0,-6.5,-110.0,51.5,-110.0,-250.0,-6.5,-102.0,49.5,-116.0,-250.0,-6.5,-110.0,50.0,-110.0,-265.0,-6.5,100.0,49.0,-110.0,-265.0,-6.5,100.0,49.0,-110.0,-240.0,-6.0,-105.0,49.5,-119.0,-250.0,-6.0,-110.0,49.5,-110.0,-250.0,-6.5,-105.0,49.0,-110.0,-270.0,-6.5,-105.0,49.5,-110.0,-265.0,-6.0,-105.0,49.0,-105.0,-277.0,-6.0,-107.0,49.0,-109.0,-265.0,-6.0,-110.0,49.0,-110.0,-250.0,-6.0,-120.0,49.5,-115.0
3452660,1519,453,2018,1,Sun 9/9,1:00 PM,Pittsburgh,21,FINAL OT,43.54,1820.0,54.07,10040.0,30.48,3130.0,-255.0,-6.5,-110.0,47.0,-110.0,-180.0,-3.5,-106.0,41.0,-110.0,-175.0,-3.5,-110.0,40.5,-115.0,-185.0,-3.0,-125.0,41.5,-106.0,-185.0,-3.0,-125.0,41.5,-106.0,-173.0,-3.5,105.0,41.0,-102.0,-180.0,-3.5,100.0,41.0,-110.0,-180.0,-3.5,100.0,41.0,-110.0,-185.0,-3.5,100.0,41.0,-110.0,-185.0,-3.5,100.0,41.0,-105.0,-183.0,-3.5,-104.0,41.0,-106.0,-190.0,-4.0,-110.0,40.5,-110.0,-180.0,-3.0,-120.0,41.0,-105.0
3452660,1520,454,2018,1,,,Cleveland,21,,56.46,2360.0,45.93,8530.0,69.52,7140.0,215.0,6.5,-110.0,47.0,-110.0,160.0,3.5,-114.0,41.0,-110.0,155.0,3.5,-110.0,40.5,-105.0,160.0,3.0,105.0,41.5,-114.0,160.0,3.0,105.0,41.5,-114.0,156.0,3.5,-116.0,41.0,-108.0,155.0,3.5,-120.0,41.0,-110.0,160.0,3.5,-120.0,41.0,-110.0,155.0,3.5,-120.0,41.0,-110.0,160.0,3.5,-110.0,41.0,-105.0,158.0,3.5,-116.0,41.0,-114.0,160.0,4.0,-110.0,40.5,-110.0,155.0,3.0,100.0,41.0,-115.0
3452662,1522,457,2018,1,Sun 9/9,1:00 PM,Cincinnati,34,FINAL,71.89,6290.0,66.36,11640.0,49.85,1680.0,120.0,1.5,-110.0,47.0,-110.0,-106.0,-1.0,-105.0,47.5,-110.0,-120.0,-1.0,-110.0,47.5,-110.0,-105.0,1.0,-115.0,47.5,-110.0,-105.0,1.0,-115.0,47.5,-110.0,-105.0,-1.0,102.0,47.5,100.0,-105.0,0.0,-110.0,47.5,-110.0,-110.0,-1.0,-105.0,47.5,-110.0,-120.0,-1.0,-110.0,47.5,-110.0,-115.0,-1.0,-105.0,47.5,-105.0,-115.0,-1.0,-112.0,47.5,-109.0,-125.0,-1.5,-110.0,47.5,-110.0,110.0,0.0,-110.0,47.5,-110.0
3452662,1527,458,2018,1,,,Indianapolis,23,,28.11,2460.0,33.64,5900.0,50.15,1690.0,-140.0,-1.5,-110.0,47.0,-110.0,-114.0,1.0,-115.0,47.5,-110.0,100.0,1.0,-110.0,47.5,-110.0,-115.0,-1.0,-105.0,47.5,-110.0,-115.0,-1.0,-105.0,47.5,-110.0,-105.0,1.0,-113.0,47.5,-110.0,-115.0,0.0,-110.0,47.5,-110.0,-110.0,1.0,-115.0,47.5,-110.0,100.0,1.0,-110.0,47.5,-110.0,-105.0,1.0,-105.0,47.5,-105.0,-105.0,1.0,-108.0,47.5,-111.0,105.0,1.5,-110.0,47.5,-110.0,-130.0,0.0,-110.0,47.5,-110.0
3452663,1529,461,2018,1,Sun 9/9,1:00 PM,Jacksonville,20,FINAL,41.8,1580.0,44.39,7640.0,39.65,1360.0,-195.0,-3.0,-110.0,43.5,-110.0,-135.0,-3.0,102.0,42.5,-110.0,-140.0,-3.0,100.0,42.5,-110.0,-146.0,-3.0,105.0,42.5,-107.0,-146.0,-3.0,105.0,42.5,-107.0,-141.0,-2.5,-117.0,43.0,103.0,-140.0,-2.5,-115.0,42.0,-110.0,-140.0,-2.5,-115.0,42.5,-110.0,-140.0,-2.5,-116.0,42.5,-110.0,-135.0,-2.5,-110.0,42.5,-105.0,-136.0,-2.5,-114.0,42.5,-109.0,-140.0,-2.5,-115.0,42.0,-110.0,-140.0,-3.0,110.0,42.5,-110.0
3452663,1535,462,2018,1,,,N.Y. Giants,15,,58.2,2200.0,55.61,9570.0,60.35,2070.0,170.0,3.0,-110.0,43.5,-110.0,115.0,3.0,-122.0,42.5,-110.0,120.0,3.0,-120.0,42.5,-110.0,126.0,3.0,-125.0,42.5,-113.0,126.0,3.0,-125.0,42.5,-113.0,127.0,2.5,106.0,43.0,-114.0,120.0,2.5,-105.0,42.0,-110.0,120.0,2.5,-105.0,42.5,-110.0,120.0,2.5,-105.0,42.5,-110.0,115.0,2.5,100.0,42.5,-105.0,116.0,2.5,-106.0,42.5,-111.0,120.0,2.5,-105.0,42.0,-110.0,120.0,3.0,-130.0,42.5,-110.0
3452664,1544,463,2018,1,Sun 9/9,1:00 PM,Tampa Bay,48,FINAL,42.62,1010.0,41.86,3730.0,39.47,750.0,355.0,7.0,-110.0,52.0,-110.0,405.0,10.0,-115.0,49.5,-110.0,375.0,10.0,-105.0,49.5,-115.0,406.0,10.0,-111.0,49.5,-110.0,406.0,10.0,-111.0,49.5,-110.0,385.0,10.0,-108.0,50.0,102.0,375.0,10.0,-115.0,49.5,-110.0,375.0,10.0,-110.0,50.0,-110.0,388.0,10.0,-110.0,49.5,-110.0,390.0,10.0,-105.0,49.5,-105.0,392.0,10.0,-113.0,49.5,-109.0,390.0,10.5,-105.0,50.0,-110.0,375.0,10.0,-105.0,50.0,-110.0
3452664,1543,464,2018,1,,,New Orleans,40,,57.38,1360.0,58.14,5180.0,60.53,1150.0,-425.0,-7.0,-110.0,52.0,-110.0,-500.0,-10.0,-105.0,49.5,-110.0,-550.0,-10.0,-115.0,49.5,-105.0,-535.0,-10.0,-109.0,49.5,-110.0,-535.0,-10.0,-109.0,49.5,-110.0,-450.0,-10.0,-102.0,50.0,-113.0,-475.0,-10.0,-105.0,49.5,-110.0,-500.0,-10.0,-110.0,50.0,-110.0,-520.0,-10.0,-110.0,49.5,-110.0,-515.0,-10.0,-105.0,49.5,-105.0,-517.0,-10.0,-107.0,49.5,-111.0,-530.0,-10.5,-115.0,50.0,-110.0,-475.0,-10.0,-115.0,50.0,-110.0
3452665,1526,459,2018,1,Sun 9/9,1:00 PM,Buffalo,3,FINAL,41.75,1240.0,33.83,5220.0,35.12,1440.0,,3.0,-110.0,42.5,-110.0,290.0,7.5,-105.0,38.5,-110.0,290.0,8.0,-110.0,38.5,-110.0,292.0,7.5,-110.0,38.5,-108.0,292.0,7.5,-110.0,38.5,-108.0,309.0,7.5,-106.0,39.0,109.0,285.0,7.5,-110.0,38.5,-110.0,280.0,7.5,-110.0,39.0,-110.0,295.0,7.5,-110.0,38.5,-110.0,315.0,7.5,-105.0,38.5,-105.0,306.0,7.5,-105.0,38.5,-108.0,290.0,8.5,-110.0,38.0,-105.0,285.0,7.5,-105.0,38.0,-110.0
3452665,1521,460,2018,1,,,Baltimore,47,,58.25,1730.0,66.17,10210.0,64.88,2660.0,,-3.0,-110.0,42.5,-110.0,-350.0,-7.5,-115.0,38.5,-110.0,-380.0,-8.0,-110.0,38.5,-110.0,-365.0,-7.5,-110.0,38.5,-112.0,-365.0,-7.5,-110.0,38.5,-112.0,-355.0,-7.5,-104.0,39.0,-120.0,-355.0,-7.5,-110.0,38.5,-110.0,-350.0,-7.5,-110.0,39.0,-110.0,-370.0,-7.5,-110.0,38.5,-110.0,-395.0,-7.5,-105.0,38.5,-105.0,-386.0,-7.5,-115.0,38.5,-112.0,-370.0,-8.5,-110.0,38.0,-115.0,-355.0,-7.5,-115.0,38.0,-110.0
3452666,1528,467,2018,1,Sun 9/9,1:00 PM,Tennessee,20,FINAL,54.71,1220.0,54.62,6260.0,31.8,830.0,-120.0,-1.5,-110.0,46.0,-110.0,-103.0,0.0,-110.0,43.5,-107.0,-115.0,-1.0,-110.0,43.5,-110.0,102.0,0.0,-113.0,43.5,-110.0,100.0,0.0,-113.0,43.5,-110.0,-115.0,-1.0,-107.0,43.5,-101.0,-120.0,0.0,-110.0,43.5,-110.0,-115.0,0.0,-110.0,43.5,-110.0,-110.0,0.0,-110.0,43.5,-110.0,-110.0,1.0,-105.0,43.5,-105.0,-108.0,1.0,-112.0,43.5,-111.0,-120.0,-1.5,-110.0,43.0,-110.0,-120.0,0.0,-110.0,43.0,-110.0
