game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,10_moneyline,10_spread,10_spread_odds,10_total,10_total_odds,16_moneyline,16_spread,16_spread_odds,16_total,16_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds
3778762,1535,2019,14,N.Y. Giants,Mon 12/9,8:15 PM,17,FINAL OT,159,315.0,8.0,-110.0,46.5,-110.0,59.0,9000.0,54.0,41490.0,46.0,18100.0,350.0,9.0,-107.0,45.0,-111.0,335.0,9.0,-110.0,45.0,-105.0,328.0,9.5,-112.0,43.5,-111.0,328.0,9.5,-112.0,43.5,-111.0,341.0,9.5,-106.0,45.5,-101.0,348.0,9.0,-110.0,45.0,-115.0,315.0,9.5,-115.0,45.0,-110.0,350.0,9.0,-110.0,45.0,-110.0,345.0,9.0,-105.0,45.0,-105.0,338.0,9.0,-111.0,45.0,-108.0,335.0,8.5,-110.0,46.5,-110.0,348.0,9.0,-110.0,45.0,-115.0
3778762,1536,2019,14,Philadelphia,Mon 12/9,8:15 PM,23,FINAL OT,160,-375.0,-8.0,-110.0,46.5,-110.0,41.0,6290.0,46.0,35580.0,54.0,21040.0,-450.0,-9.0,-113.0,45.0,-109.0,-470.0,-9.0,-110.0,45.0,-115.0,-511.0,-9.5,-117.0,43.5,-118.0,-511.0,-9.5,-117.0,43.5,-118.0,-411.0,-9.5,-104.0,45.5,-110.0,-423.0,-9.0,-110.0,45.0,-105.0,-400.0,-9.5,-105.0,45.0,-110.0,-430.0,-9.0,-110.0,45.0,-110.0,-435.0,-9.0,-105.0,45.0,-105.0,-428.0,-9.0,-109.0,45.0,-112.0,-425.0,-8.5,-110.0,46.5,-110.0,-423.0,-9.0,-110.0,45.0,-105.0
3778754,1537,2019,14,Washington,Sun 12/8,1:00 PM,15,FINAL,133,595.0,14.5,-110.0,42.0,-110.0,10.0,30.0,51.0,700.0,36.0,310.0,565.0,12.5,-110.0,42.0,-110.0,600.0,13.5,-115.0,42.5,-115.0,576.0,14.0,-111.0,41.5,-111.0,576.0,14.0,-111.0,41.5,-111.0,568.0,13.0,-106.0,42.5,-102.0,530.0,13.0,-110.0,42.5,-110.0,550.0,13.0,-110.0,42.0,-110.0,575.0,13.0,-110.0,42.0,-110.0,565.0,13.0,-105.0,42.5,-105.0,541.0,13.0,-112.0,42.5,-111.0,525.0,13.0,-110.0,41.5,-110.0,,13.0,-110.0,42.5,-110.0
3778754,1542,2019,14,Green Bay,Sun 12/8,1:00 PM,20,FINAL,134,-770.0,-14.5,-110.0,42.0,-110.0,90.0,260.0,49.0,680.0,64.0,540.0,-815.0,-12.5,-110.0,42.0,-110.0,-1000.0,-13.5,-105.0,42.5,-105.0,-1183.0,-14.0,-118.0,41.5,-118.0,-1183.0,-14.0,-118.0,41.5,-118.0,-752.0,-13.0,-104.0,42.5,-110.0,-780.0,-13.0,-110.0,42.5,-110.0,-800.0,-13.0,-110.0,42.0,-110.0,-850.0,-13.0,-110.0,42.0,-110.0,-740.0,-13.0,-105.0,42.5,-105.0,-716.0,-13.0,-108.0,42.5,-109.0,-750.0,-13.0,-110.0,41.5,-110.0,,-13.0,-110.0,42.5,-110.0
3778755,1539,2019,14,Detroit,Sun 12/8,1:00 PM,7,FINAL,143,535.0,13.0,-110.0,44.0,-110.0,61.0,510.0,57.0,2100.0,57.0,740.0,450.0,12.0,-110.0,44.0,-109.0,475.0,12.0,-110.0,44.5,-110.0,532.0,13.5,-109.0,44.0,-108.0,532.0,13.5,-109.0,44.0,-108.0,463.0,12.0,-117.0,43.5,-113.0,,12.0,-120.0,44.0,-110.0,440.0,12.0,-115.0,44.0,-110.0,475.0,11.5,-110.0,44.0,-110.0,490.0,11.5,-105.0,44.0,-105.0,481.0,11.5,-110.0,44.0,-112.0,,,,,,,12.0,-120.0,44.0,-110.0
3778755,1541,2019,14,Minnesota,Sun 12/8,1:00 PM,20,FINAL,144,-700.0,-13.0,-110.0,44.0,-110.0,39.0,320.0,43.0,1600.0,43.0,550.0,-610.0,-12.0,-110.0,44.0,-111.0,-750.0,-12.0,-110.0,44.5,-110.0,-746.0,-13.5,-107.0,44.0,-108.0,-746.0,-13.5,-107.0,44.0,-108.0,-587.0,-12.0,106.0,43.5,102.0,,-12.0,100.0,44.0,-110.0,-600.0,-12.0,-105.0,44.0,-110.0,-650.0,-11.5,-110.0,44.0,-110.0,-640.0,-11.5,-105.0,44.0,-105.0,-631.0,-11.5,-110.0,44.0,-108.0,,,,,,,-12.0,100.0,44.0,-110.0
3778757,1545,2019,14,Carolina,Sun 12/8,1:00 PM,20,FINAL,141,110.0,1.0,-105.0,48.5,-110.0,42.0,140.0,48.0,300.0,50.0,150.0,160.0,3.5,-115.0,48.0,-110.0,165.0,3.5,100.0,48.5,-115.0,166.0,3.5,-108.0,48.0,-113.0,166.0,3.5,-108.0,48.0,-113.0,161.0,3.5,-110.0,48.0,-107.0,165.0,3.5,-110.0,48.0,-110.0,165.0,3.5,-110.0,48.0,-110.0,170.0,3.5,-110.0,48.0,-110.0,165.0,3.5,-105.0,48.5,-105.0,165.0,3.5,-110.0,48.0,-114.0,135.0,3.0,-115.0,48.0,-105.0,165.0,3.5,-110.0,48.0,-110.0
3778757,1546,2019,14,Atlanta,Sun 12/8,1:00 PM,40,FINAL,142,-130.0,-1.0,-115.0,48.5,-110.0,58.0,190.0,52.0,330.0,50.0,150.0,-180.0,-3.5,-105.0,48.0,-110.0,-190.0,-3.5,-120.0,48.5,-105.0,-195.0,-3.5,-112.0,48.0,-107.0,-195.0,-3.5,-112.0,48.0,-107.0,-180.0,-3.5,100.0,48.0,-104.0,-195.0,-3.5,-110.0,48.0,-110.0,-190.0,-3.5,-110.0,48.0,-110.0,-190.0,-3.5,-110.0,48.0,-110.0,-190.0,-3.5,-105.0,48.5,-105.0,-190.0,-3.5,-110.0,48.0,-106.0,-155.0,-3.0,-105.0,48.0,-115.0,-195.0,-3.5,-110.0,48.0,-110.0
3778758,1547,2019,14,San Francisco,Sun 12/8,1:00 PM,48,FINAL,137,145.0,3.0,-105.0,45.5,-110.0,69.0,2990.0,56.0,6500.0,52.0,1310.0,102.0,1.5,-110.0,45.0,-110.0,100.0,1.5,-115.0,45.5,-105.0,100.0,2.0,-116.0,46.0,-112.0,100.0,2.0,-116.0,46.0,-112.0,105.0,1.0,-101.0,45.0,-107.0,105.0,1.0,-105.0,45.0,-110.0,100.0,1.0,-110.0,45.0,-115.0,105.0,1.5,-110.0,45.0,-110.0,100.0,1.5,-105.0,45.0,-105.0,102.0,1.5,-111.0,45.0,-109.0,125.0,2.5,-115.0,44.5,-110.0,105.0,1.0,-105.0,45.0,-110.0
3778758,1543,2019,14,New Orleans,Sun 12/8,1:00 PM,46,FINAL,138,-165.0,-3.0,-115.0,45.5,-110.0,31.0,1360.0,44.0,5120.0,48.0,1220.0,-122.0,-1.5,-110.0,45.0,-110.0,-120.0,-1.5,-105.0,45.5,-115.0,-132.0,-2.0,-113.0,46.0,-117.0,-132.0,-2.0,-113.0,46.0,-117.0,-116.0,-1.0,-109.0,45.0,-104.0,-125.0,-1.0,-115.0,45.0,-110.0,-120.0,-1.0,-110.0,45.0,-105.0,-125.0,-1.5,-110.0,45.0,-110.0,-120.0,-1.5,-105.0,45.0,-105.0,-122.0,-1.5,-109.0,45.0,-111.0,-145.0,-2.5,-105.0,44.5,-110.0,-125.0,-1.0,-115.0,45.0,-110.0
