game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds,123_moneyline,123_spread,123_spread_odds,123_total,123_total_odds
4407014,1521,2021,1,Baltimore,Mon 9/13,8:15 PM,27,FINAL OT,481,-310.0,-6.5,-110.0,51.0,-110.0,55.56,100.0,57.69,150.0,33.33,0.0,-165.0,-3.0,-115.0,50.5,-110.0,-167.0,-3.0,-116.0,50.5,-100.0,-169.0,-3.0,-115.0,50.5,-110.0,-170.0,-3.0,-115.0,50.5,-110.0,-175.0,-3.5,-105.0,50.5,-110.0,-165.0,-3.0,-113.0,50.5,-108.0,-165.0,-3.0,-117.0,50.5,-110.0,-165.0,-3.5,-110.0,50.5,-110.0,-169.0,-3.0,-115.0,50.5,-110.0,-488.0,-6.5,-110.0,46.5,-115.0
4407014,1533,2021,1,Las Vegas,Mon 9/13,8:15 PM,33,FINAL OT,482,260.0,6.5,-110.0,51.0,-110.0,44.44,80.0,42.31,110.0,66.67,0.0,140.0,3.0,-105.0,50.5,-110.0,149.0,3.0,105.0,50.5,-111.0,149.0,3.0,-105.0,50.5,-110.0,150.0,3.0,-105.0,50.5,-110.0,155.0,3.5,-115.0,50.5,-110.0,145.0,3.0,-103.0,50.5,-108.0,145.0,3.0,-103.0,50.5,-110.0,140.0,3.5,-110.0,50.5,-110.0,149.0,3.0,-105.0,50.5,-110.0,373.0,6.5,-110.0,46.5,-105.0
4407006,1549,2021,1,Arizona,Sun 9/12,1:00 PM,38,FINAL,459,105.0,1.5,-110.0,51.0,-110.0,40.0,20.0,0.0,0.0,16.67,0.0,130.0,3.0,-120.0,54.5,-105.0,131.0,2.5,105.0,54.0,-108.0,125.0,3.0,-120.0,54.0,-110.0,125.0,2.5,-105.0,54.0,-110.0,130.0,2.5,100.0,54.0,-110.0,125.0,2.5,102.0,54.0,-108.0,126.0,2.5,100.0,54.0,-107.0,125.0,3.0,-110.0,54.0,-110.0,125.0,3.0,-120.0,54.0,-110.0,-900.0,-12.0,-109.0,67.0,-111.0
4407006,1528,2021,1,Tennessee,Sun 9/12,1:00 PM,13,FINAL,460,-125.0,-1.5,-110.0,51.0,-110.0,60.0,30.0,100.0,20.0,83.33,0.0,-150.0,-3.0,100.0,54.5,-115.0,-146.0,-2.5,-116.0,54.0,-103.0,-145.0,-3.0,100.0,54.0,-110.0,-145.0,-2.5,-115.0,54.0,-110.0,-150.0,-2.5,-120.0,54.0,-110.0,-145.0,-2.5,-118.0,54.0,-108.0,-146.0,-2.5,-120.0,54.0,-113.0,-145.0,-3.0,-110.0,54.0,-110.0,-145.0,-3.0,100.0,54.0,-110.0,625.0,12.0,-111.0,67.0,-109.0
4407009,1529,2021,1,Jacksonville,Sun 9/12,1:00 PM,21,FINAL,457,-125.0,-1.5,-110.0,45.5,-110.0,100.0,20.0,100.0,10.0,50.0,0.0,-180.0,-3.5,-105.0,45.5,-110.0,-172.0,-3.5,103.0,45.5,-104.0,-175.0,-3.5,-105.0,45.0,-115.0,-175.0,-3.5,-105.0,45.5,-110.0,-175.0,-3.0,-120.0,45.5,-110.0,-170.0,-3.0,-123.0,45.5,-108.0,-171.0,-3.0,-123.0,45.5,-110.0,-180.0,-3.5,-110.0,45.5,-110.0,-175.0,-3.5,-105.0,45.0,-115.0,1483.0,22.5,-138.0,59.5,-105.0
4407009,1530,2021,1,Houston,Sun 9/12,1:00 PM,37,FINAL,458,105.0,1.5,-110.0,45.5,-110.0,0.0,0.0,0.0,0.0,50.0,0.0,155.0,3.5,-115.0,45.5,-110.0,154.0,3.5,-113.0,45.5,-107.0,155.0,3.5,-115.0,45.0,-105.0,155.0,3.5,-115.0,45.5,-110.0,155.0,3.0,100.0,45.5,-110.0,150.0,3.0,107.0,45.5,-108.0,151.0,3.0,103.0,45.5,-110.0,150.0,3.5,-110.0,45.5,-110.0,155.0,3.5,-115.0,45.0,-105.0,-3233.0,-22.5,118.0,59.5,-115.0
4407010,1541,2021,1,Minnesota,Sun 9/12,1:00 PM,24,FINAL OT,467,-140.0,-2.5,-120.0,49.0,-110.0,57.14,40.0,66.67,20.0,66.67,0.0,-160.0,-3.0,-115.0,47.0,-115.0,-135.0,-3.0,109.0,47.0,-114.0,-150.0,-3.0,-110.0,47.0,-110.0,-150.0,-3.0,-105.0,47.0,-110.0,-160.0,-3.0,-110.0,47.0,-110.0,-150.0,-3.0,-103.0,47.5,-108.0,-149.0,-3.0,-105.0,47.0,-112.0,-150.0,-3.0,-110.0,47.0,-110.0,-150.0,-3.0,-110.0,47.0,-110.0,-110.0,2.5,156.0,53.5,140.0
4407010,1522,2021,1,Cincinnati,Sun 9/12,1:00 PM,27,FINAL OT,468,120.0,2.5,100.0,49.0,-110.0,42.86,30.0,33.33,10.0,33.33,0.0,135.0,3.0,-105.0,47.0,-105.0,122.0,3.0,-120.0,47.0,102.0,130.0,3.0,-110.0,47.0,-110.0,130.0,3.0,-115.0,47.0,-110.0,140.0,3.0,-110.0,47.0,-110.0,130.0,3.0,-113.0,47.5,-108.0,129.0,3.0,-115.0,47.0,-108.0,130.0,3.0,-110.0,47.0,-110.0,130.0,3.0,-110.0,47.0,-110.0,-110.0,-2.5,-178.0,53.5,-160.0
4407011,1548,2021,1,Seattle,Sun 9/12,1:00 PM,28,FINAL,465,120.0,2.5,100.0,52.5,-110.0,0.0,0.0,25.82,5960.0,75.0,0.0,-145.0,-3.0,100.0,49.0,-115.0,-146.0,-3.0,106.0,49.0,-106.0,-150.0,-2.5,-120.0,49.0,-110.0,-150.0,-3.0,100.0,49.0,-110.0,-145.0,-3.0,100.0,49.0,-110.0,-150.0,-3.0,102.0,49.0,-108.0,-148.0,-3.0,-102.0,49.0,-108.0,-145.0,-3.0,-110.0,49.0,-110.0,-155.0,-2.5,-120.0,49.0,-110.0,-1900.0,-10.5,100.0,38.5,-120.0
4407011,1527,2021,1,Indianapolis,Sun 9/12,1:00 PM,16,FINAL,466,-140.0,-2.5,-120.0,52.5,-110.0,100.0,30.0,74.18,17120.0,25.0,0.0,125.0,3.0,-120.0,49.0,-105.0,132.0,3.0,-117.0,49.0,-105.0,130.0,2.5,100.0,49.0,-110.0,130.0,3.0,-120.0,49.0,-110.0,125.0,3.0,-120.0,49.0,-110.0,130.0,3.0,-118.0,49.0,-108.0,128.0,3.0,-118.0,49.0,-112.0,125.0,3.0,-110.0,49.0,-110.0,135.0,2.5,100.0,49.0,-110.0,1150.0,10.5,-120.0,38.5,100.0
