eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds,123_ml,123_spr,123_spr_odds,123_ou,123_ou_odds
4618069,1537,339,2021,15,Tue 12/21,7:00 PM,Washington,17,FINAL,0.0,0.0,83.33,50.0,0.0,0.0,200.0,8.5,-110.0,43.0,-110.0,370.0,10.0,-110.0,39.0,-110.0,360.0,10.0,-110.0,39.0,-115.0,404.0,10.0,-101.0,39.5,-108.0,369.0,10.0,-109.0,39.5,-112.0,355.0,10.0,-110.0,39.5,-110.0,380.0,10.0,-110.0,39.5,-110.0,370.0,10.0,-108.0,39.5,-108.0,366.0,10.0,-113.0,39.5,-109.0,350.0,9.0,-105.0,39.5,-115.0,369.0,10.0,-109.0,39.5,-112.0,380.0,10.0,-110.0,39.5,-110.0
4618069,1536,340,2021,15,,,Philadelphia,27,,100.0,10.0,16.67,10.0,100.0,0.0,-240.0,-8.5,-110.0,43.0,-110.0,-460.0,-10.0,-110.0,39.0,-110.0,-500.0,-10.0,-110.0,39.0,-105.0,-499.0,-10.0,-110.0,39.5,-103.0,-469.0,-10.0,-111.0,39.5,-108.0,-460.0,-10.0,-110.0,39.5,-110.0,-475.0,-10.0,-110.0,39.5,-110.0,-470.0,-10.0,-108.0,39.5,-108.0,-466.0,-10.0,-107.0,39.5,-111.0,-480.0,-9.0,-115.0,39.5,-105.0,-469.0,-10.0,-111.0,39.5,-108.0,-470.0,-10.0,-110.0,39.5,-110.0
4618070,1548,337,2021,15,Tue 12/21,7:00 PM,Seattle,10,FINAL,92.86,130.0,85.71,120.0,52.63,0.0,235.0,6.5,-110.0,44.5,-110.0,290.0,7.0,-110.0,47.0,-115.0,275.0,7.0,-110.0,47.0,-110.0,303.0,7.5,-118.0,47.0,-107.0,301.0,7.5,-122.0,47.0,-111.0,280.0,7.5,-115.0,47.0,-110.0,290.0,7.0,-110.0,47.0,-110.0,285.0,7.5,-113.0,47.0,-108.0,281.0,7.0,-105.0,47.0,-112.0,275.0,7.5,-125.0,47.0,-110.0,301.0,7.5,-122.0,47.0,-111.0,285.0,7.0,-105.0,46.5,-110.0
4618070,1550,338,2021,15,,,L.A. Rams,20,,7.14,10.0,14.29,20.0,47.37,0.0,-280.0,-6.5,-110.0,44.5,-110.0,-360.0,-7.0,-110.0,47.0,-105.0,-350.0,-7.0,-110.0,47.0,-110.0,-359.0,-7.5,106.0,47.0,-104.0,-361.0,-7.5,102.0,47.0,-109.0,-350.0,-7.5,-105.0,47.0,-110.0,-350.0,-7.0,-110.0,47.0,-110.0,-355.0,-7.5,-103.0,47.0,-108.0,-351.0,-7.0,-115.0,47.0,-108.0,-350.0,-7.5,100.0,47.0,-110.0,-361.0,-7.5,102.0,47.0,-109.0,-335.0,-7.0,-115.0,46.5,-110.0
4618067,1533,333,2021,15,Mon 12/20,5:00 PM,Las Vegas,16,FINAL,44.44,40.0,46.43,130.0,5.0,0.0,125.0,1.5,-110.0,40.0,-110.0,-135.0,-2.5,-108.0,41.5,-110.0,-135.0,-3.0,105.0,41.0,-115.0,-142.0,-2.5,-116.0,41.0,-112.0,-135.0,-2.5,-111.0,41.0,-119.0,-150.0,-3.0,-105.0,41.0,-115.0,-145.0,-3.0,100.0,41.5,-110.0,-140.0,-2.5,-108.0,41.5,-108.0,-141.0,-2.5,-113.0,41.5,-108.0,-160.0,-3.0,-116.0,41.0,-110.0,-131.0,-2.5,-109.0,41.0,-121.0,-145.0,-3.0,100.0,41.5,-110.0
4618067,1520,334,2021,15,,,Cleveland,14,,55.56,50.0,53.57,150.0,95.0,0.0,-145.0,-1.5,-110.0,40.0,-110.0,115.0,2.5,-112.0,41.5,-110.0,115.0,3.0,-125.0,41.0,-105.0,127.0,2.5,104.0,41.0,101.0,115.0,2.5,-109.0,41.0,-101.0,130.0,3.0,-115.0,41.0,-105.0,125.0,3.0,-120.0,41.5,-110.0,120.0,2.5,-108.0,41.5,-108.0,121.0,2.5,-107.0,41.5,-112.0,135.0,3.0,-104.0,41.0,-110.0,111.0,2.5,-111.0,41.0,101.0,125.0,3.0,-120.0,41.5,-110.0
4407420,1541,331,2021,15,Mon 12/20,8:15 PM,Minnesota,17,FINAL,80.0,40.0,64.29,90.0,44.44,0.0,-190.0,-4.0,-110.0,43.5,-110.0,-310.0,-7.0,-110.0,47.5,-113.0,-320.0,-7.0,-115.0,47.5,-110.0,-328.0,-7.0,-114.0,48.0,104.0,-333.0,-7.0,-121.0,48.0,100.0,-320.0,-7.0,-115.0,47.5,-110.0,-300.0,-7.0,-110.0,47.0,-110.0,-345.0,-7.0,-113.0,47.5,-108.0,-330.0,-7.5,-105.0,47.5,-110.0,-325.0,-7.0,-115.0,47.5,-110.0,-335.0,-7.0,-119.0,48.0,-101.0,-300.0,-7.0,-110.0,47.5,-110.0
4407420,1540,332,2021,15,,,Chicago,9,,20.0,10.0,35.71,50.0,55.56,0.0,165.0,4.0,-110.0,43.5,-110.0,260.0,7.0,-110.0,47.5,-107.0,260.0,7.0,-105.0,47.5,-110.0,280.0,7.0,103.0,48.0,-116.0,273.0,7.0,101.0,48.0,-120.0,260.0,7.0,-105.0,47.5,-110.0,250.0,7.0,-110.0,47.0,-110.0,275.0,7.0,-103.0,47.5,-108.0,270.0,7.5,-115.0,47.5,-110.0,250.0,7.0,-105.0,47.5,-110.0,275.0,7.0,-101.0,48.0,-119.0,260.0,7.0,-110.0,47.5,-110.0
4407419,1538,313,2021,15,Sun 12/19,1:00 PM,Dallas,21,FINAL,20.0,10.0,0.0,0.0,27.27,0.0,-500.0,-10.0,-110.0,45.0,-110.0,-550.0,-12.0,-110.0,43.0,-115.0,-625.0,-12.5,-110.0,43.5,-110.0,-517.0,-11.5,-114.0,44.0,102.0,-528.0,-11.5,-119.0,44.0,-102.0,-550.0,-11.5,-120.0,43.5,-110.0,-550.0,-11.5,-110.0,43.5,-110.0,-625.0,-12.5,-108.0,43.5,-108.0,-601.0,-12.5,-112.0,43.5,-111.0,-575.0,-12.0,-110.0,43.5,-110.0,-528.0,-11.5,-119.0,44.0,-102.0,-550.0,-13.0,100.0,43.5,-110.0
4407419,1535,314,2021,15,,,N.Y. Giants,6,,80.0,40.0,100.0,10.0,72.73,0.0,395.0,10.0,-110.0,45.0,-110.0,430.0,12.0,-110.0,43.0,-105.0,430.0,12.5,-110.0,43.5,-110.0,416.0,11.5,102.0,44.0,-114.0,408.0,11.5,-101.0,44.0,-118.0,410.0,11.5,100.0,43.5,-110.0,425.0,11.5,-110.0,43.5,-110.0,475.0,12.5,-108.0,43.5,-108.0,451.0,12.5,-108.0,43.5,-109.0,425.0,12.0,-110.0,43.5,-110.0,408.0,11.5,-101.0,44.0,-118.0,435.0,13.0,-120.0,43.5,-110.0
4407421,1523,309,2021,15,Sun 12/19,1:00 PM,N.Y. Jets,24,FINAL,76.47,130.0,33.33,40.0,42.86,0.0,300.0,7.0,-110.0,44.5,-110.0,360.0,10.0,-110.0,42.0,-112.0,360.0,10.0,-110.0,42.0,-110.0,344.0,10.5,-128.0,42.0,-105.0,351.0,10.5,-126.0,42.0,-110.0,350.0,10.0,-110.0,42.0,-110.0,400.0,10.5,-110.0,42.0,-110.0,375.0,9.5,-108.0,42.5,-108.0,357.0,9.5,-107.0,42.5,-109.0,350.0,10.0,-110.0,42.0,-110.0,345.0,10.5,-129.0,42.0,-110.0,380.0,10.5,-110.0,42.0,-110.0
4407421,1524,310,2021,15,,,Miami,31,,23.53,40.0,66.67,80.0,57.14,0.0,-370.0,-7.0,-110.0,44.5,-110.0,-450.0,-10.0,-110.0,42.0,-108.0,-500.0,-10.0,-110.0,42.0,-110.0,-414.0,-10.5,115.0,42.0,-106.0,-426.0,-10.5,106.0,42.0,-110.0,-450.0,-10.0,-110.0,42.0,-110.0,-500.0,-10.5,-110.0,42.0,-110.0,-475.0,-9.5,-108.0,42.5,-108.0,-447.0,-9.5,-113.0,42.5,-111.0,-450.0,-10.0,-110.0,42.0,-110.0,-420.0,-10.5,109.0,42.0,-110.0,-470.0,-10.5,-110.0,42.0,-110.0
4407422,1549,321,2021,15,Sun 12/19,1:00 PM,Arizona,12,FINAL,20.0,30.0,33.33,20.0,0.0,0.0,-700.0,-12.5,-110.0,47.5,-110.0,-715.0,-13.0,-101.0,48.5,-110.0,-750.0,-13.0,-105.0,48.0,-110.0,-592.0,-13.0,-102.0,48.0,-114.0,,-13.0,-107.0,48.0,-118.0,-700.0,-13.0,-105.0,49.0,-110.0,-750.0,-13.0,-110.0,48.0,-110.0,-665.0,-12.5,-108.0,48.5,-108.0,-651.0,-13.0,-109.0,48.5,-110.0,-800.0,-13.0,-110.0,48.0,-110.0,,-13.0,-107.0,48.0,-118.0,-750.0,-13.0,-110.0,48.5,-110.0
4407422,1539,322,2021,15,,,Detroit,30,,80.0,120.0,66.67,40.0,100.0,0.0,520.0,12.5,-110.0,47.5,-110.0,535.0,13.0,-119.0,48.5,-110.0,500.0,13.0,-115.0,48.0,-110.0,467.0,13.0,-109.0,48.0,102.0,,13.0,-113.0,48.0,-102.0,500.0,13.0,-115.0,49.0,-110.0,525.0,13.0,-110.0,48.0,-110.0,515.0,12.5,-108.0,48.5,-108.0,501.0,13.0,-111.0,48.5,-110.0,530.0,13.0,-110.0,48.0,-110.0,,13.0,-113.0,48.0,-102.0,570.0,13.0,-110.0,48.5,-110.0
4407423,1528,317,2021,15,Sun 12/19,1:00 PM,Tennessee,13,FINAL,75.0,120.0,58.33,70.0,16.67,0.0,-140.0,-2.5,-110.0,43.0,-110.0,103.0,1.0,-105.0,43.5,-112.0,110.0,1.5,-110.0,43.5,-110.0,108.0,1.0,101.0,44.0,-109.0,103.0,1.0,-104.0,44.0,-112.0,105.0,1.0,-110.0,44.0,-110.0,-110.0,0.0,-110.0,43.5,-110.0,100.0,1.0,-108.0,44.0,-108.0,-101.0,1.0,-109.0,44.0,-110.0,100.0,1.0,-110.0,44.0,-110.0,103.0,1.0,-104.0,44.0,-112.0,-102.0,1.0,-110.0,44.0,-110.0
4407423,1519,318,2021,15,,,Pittsburgh,19,,25.0,40.0,41.67,50.0,83.33,0.0,120.0,2.5,-110.0,43.0,-110.0,-123.0,-1.0,-115.0,43.5,-108.0,-130.0,-1.5,-110.0,43.5,-110.0,-120.0,-1.0,-112.0,44.0,-102.0,-123.0,-1.0,-116.0,44.0,-108.0,-125.0,-1.0,-110.0,44.0,-110.0,-110.0,0.0,-110.0,43.5,-110.0,-120.0,-1.0,-108.0,44.0,-108.0,-119.0,-1.0,-111.0,44.0,-110.0,-120.0,-1.0,-110.0,44.0,-110.0,-123.0,-1.0,-116.0,44.0,-108.0,-118.0,-1.0,-110.0,44.0,-110.0
4407426,1530,319,2021,15,Sun 12/19,1:00 PM,Houston,30,FINAL,0.0,0.0,9.09,10.0,50.0,0.0,140.0,3.5,-110.0,43.0,-110.0,222.0,6.0,-113.0,39.5,-115.0,210.0,6.0,-110.0,40.5,-110.0,241.0,6.0,102.0,41.0,101.0,234.0,6.0,-106.0,41.0,-104.0,220.0,6.0,-110.0,40.5,-110.0,225.0,6.0,-110.0,40.0,-110.0,220.0,6.0,-108.0,40.5,-108.0,211.0,6.0,-108.0,40.5,-107.0,220.0,6.0,-110.0,40.5,-110.0,234.0,6.0,-106.0,41.0,-104.0,225.0,6.0,-110.0,40.5,-110.0
