game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds,123_moneyline,123_spread,123_spread_odds,123_total,123_total_odds
4622227,1549,2021,19,Arizona,Mon 1/17,8:15 PM,11,FINAL,151,175.0,4.0,-105.0,49.5,-112.0,62.5,50.0,61.54,160.0,71.43,0.0,145.0,3.0,100.0,49.0,-105.0,155.0,3.5,-115.0,49.5,-105.0,140.0,3.0,-105.0,49.0,-102.0,139.0,3.0,-110.0,49.0,-106.0,155.0,3.5,-115.0,49.5,-110.0,150.0,3.0,-105.0,49.0,-110.0,150.0,3.5,-118.0,49.0,-108.0,148.0,3.5,-124.0,49.0,-108.0,155.0,3.5,-105.0,49.5,-110.0,147.0,3.0,-107.0,49.0,-109.0,155.0,3.5,-120.0,49.0,-110.0
4622227,1550,2021,19,L.A. Rams,Mon 1/17,8:15 PM,34,FINAL,152,-205.0,-4.0,-115.0,49.5,-108.0,37.5,30.0,38.46,100.0,28.57,0.0,-165.0,-3.0,-120.0,49.0,-115.0,-180.0,-3.5,-105.0,49.5,-115.0,-157.0,-3.0,-106.0,49.0,-110.0,-159.0,-3.0,-110.0,49.0,-114.0,-175.0,-3.5,-105.0,49.5,-110.0,-170.0,-3.0,-115.0,49.0,-110.0,-170.0,-3.5,102.0,49.0,-108.0,-168.0,-3.5,104.0,49.0,-112.0,-185.0,-3.5,-115.0,49.5,-110.0,-167.0,-3.0,-113.0,49.0,-111.0,-175.0,-3.5,100.0,49.0,-110.0
4622225,1536,2021,19,Philadelphia,Sun 1/16,1:00 PM,15,FINAL,145,345.0,10.0,-110.0,49.5,-105.0,66.67,60.0,81.82,180.0,0.0,0.0,280.0,7.0,-105.0,47.5,-106.0,285.0,7.5,-115.0,47.5,-115.0,240.0,7.5,-128.0,48.0,105.0,285.0,7.0,-101.0,47.5,-106.0,275.0,7.5,-120.0,47.5,-110.0,280.0,7.0,-105.0,47.5,-110.0,285.0,7.0,-108.0,47.5,-108.0,265.0,7.0,-110.0,47.5,-108.0,275.0,8.0,-110.0,47.5,-110.0,285.0,7.0,-101.0,47.5,-106.0,275.0,7.0,-105.0,47.5,-110.0
4622225,1544,2021,19,Tampa Bay,Sun 1/16,1:00 PM,31,FINAL,146,-425.0,-10.0,-110.0,49.5,-115.0,33.33,30.0,18.18,40.0,100.0,0.0,-350.0,-7.0,-115.0,47.5,-114.0,-370.0,-7.5,-105.0,47.5,-105.0,-281.0,-7.5,115.0,48.0,-117.0,-345.0,-7.0,-119.0,47.5,-114.0,-340.0,-7.5,100.0,47.5,-110.0,-340.0,-7.0,-115.0,47.5,-110.0,-355.0,-7.0,-108.0,47.5,-108.0,-325.0,-7.0,-110.0,47.5,-112.0,-355.0,-8.0,-110.0,47.5,-110.0,-345.0,-7.0,-119.0,47.5,-114.0,-320.0,-7.0,-115.0,47.5,-110.0
4622226,1547,2021,19,San Francisco,Sun 1/16,4:30 PM,23,FINAL,147,150.0,3.0,-101.0,50.0,-105.0,78.57,110.0,59.26,160.0,44.44,0.0,163.0,3.0,105.0,51.0,-115.0,150.0,3.0,105.0,51.5,-105.0,160.0,3.5,-105.0,51.0,-108.0,161.0,3.5,-110.0,51.0,-112.0,150.0,3.5,-115.0,51.0,-110.0,160.0,3.5,-110.0,51.0,-115.0,160.0,3.0,107.0,51.0,-108.0,155.0,3.0,104.0,51.0,-115.0,160.0,4.0,-125.0,51.5,-115.0,161.0,3.5,-110.0,51.0,-112.0,158.0,3.0,105.0,51.5,-110.0
4622226,1538,2021,19,Dallas,Sun 1/16,4:30 PM,17,FINAL,148,-170.0,-3.0,-119.0,50.0,-115.0,21.43,30.0,40.74,110.0,55.56,0.0,-183.0,-3.0,-125.0,51.0,-105.0,-175.0,-3.0,-125.0,51.5,-115.0,-181.0,-3.5,-106.0,51.0,-103.0,-181.0,-3.5,-110.0,51.0,-108.0,-170.0,-3.5,-105.0,51.0,-110.0,-180.0,-3.5,-110.0,51.0,-105.0,-185.0,-3.0,-123.0,51.0,-108.0,-180.0,-3.0,-124.0,51.0,-105.0,-200.0,-4.0,100.0,51.5,-105.0,-181.0,-3.5,-110.0,51.0,-108.0,-180.0,-3.0,-125.0,51.5,-110.0
4622241,1519,2021,19,Pittsburgh,Sun 1/16,8:15 PM,21,FINAL,149,520.0,13.0,-115.0,46.5,-110.0,66.67,140.0,67.44,290.0,61.54,0.0,460.0,12.5,-115.0,46.0,-115.0,450.0,11.5,-110.0,46.5,-110.0,426.0,11.0,101.0,46.5,-109.0,429.0,11.0,-104.0,46.5,-112.0,500.0,12.0,-110.0,46.5,-110.0,550.0,12.5,-110.0,46.5,-110.0,500.0,11.5,-108.0,47.0,-108.0,471.0,12.0,-111.0,46.5,-112.0,450.0,12.0,-110.0,47.0,-115.0,426.0,11.0,-104.0,46.5,-113.0,490.0,11.5,-110.0,47.0,-110.0
4622241,1531,2021,19,Kansas City,Sun 1/16,8:15 PM,42,FINAL,150,-700.0,-13.0,-105.0,46.5,-110.0,33.33,70.0,32.56,140.0,38.46,0.0,-600.0,-12.5,-105.0,46.0,-105.0,-665.0,-11.5,-110.0,46.5,-110.0,-545.0,-11.0,-112.0,46.5,-102.0,-549.0,-11.0,-116.0,46.5,-108.0,-700.0,-12.0,-110.0,46.5,-110.0,-800.0,-12.5,-110.0,46.5,-110.0,-650.0,-11.5,-108.0,47.0,-108.0,-621.0,-12.0,-109.0,46.5,-108.0,-1000.0,-12.0,-110.0,47.0,-105.0,-546.0,-11.0,-116.0,46.5,-107.0,-650.0,-11.5,-110.0,47.0,-110.0
4622239,1533,2021,19,Las Vegas,Sat 1/15,4:30 PM,19,FINAL,141,230.0,6.5,-110.0,49.0,-110.0,55.56,50.0,50.0,130.0,62.5,0.0,225.0,6.0,-105.0,48.5,-115.0,210.0,6.0,-110.0,49.0,-110.0,228.0,6.0,-102.0,48.5,-106.0,225.0,6.0,-105.0,49.0,-110.0,230.0,6.5,-115.0,48.5,-110.0,215.0,6.0,-110.0,48.5,-110.0,205.0,6.0,-108.0,48.5,-108.0,211.0,6.0,-107.0,48.5,-110.0,225.0,6.0,-105.0,48.5,-115.0,225.0,6.0,-105.0,49.0,-110.0,210.0,6.0,-110.0,48.5,-110.0
4622239,1522,2021,19,Cincinnati,Sat 1/15,4:30 PM,26,FINAL,142,-275.0,-6.5,-110.0,49.0,-110.0,44.44,40.0,50.0,130.0,37.5,0.0,-265.0,-6.0,-115.0,48.5,-105.0,-250.0,-6.0,-110.0,49.0,-110.0,-265.0,-6.0,-109.0,48.5,-105.0,-265.0,-6.0,-115.0,49.0,-110.0,-270.0,-6.5,-105.0,48.5,-110.0,-255.0,-6.0,-110.0,48.5,-110.0,-245.0,-6.0,-108.0,48.5,-108.0,-261.0,-6.0,-113.0,48.5,-110.0,-275.0,-6.0,-115.0,48.5,-105.0,-265.0,-6.0,-115.0,49.0,-110.0,-245.0,-6.0,-110.0,48.5,-110.0
4622240,1525,2021,19,New England,Sat 1/15,8:15 PM,17,FINAL,143,175.0,4.0,-103.0,43.5,-110.0,37.5,30.0,25.0,30.0,50.0,0.0,195.0,4.5,-110.0,43.0,-115.0,175.0,4.5,-105.0,43.0,-115.0,187.0,4.5,-113.0,43.0,-109.0,174.0,4.5,-121.0,43.0,-116.0,180.0,5.0,-115.0,43.0,-115.0,185.0,4.5,-110.0,43.0,-110.0,185.0,4.5,-108.0,43.5,-108.0,181.0,4.5,-115.0,43.0,-113.0,180.0,4.5,-105.0,42.5,-110.0,174.0,4.5,-121.0,43.0,-116.0,180.0,4.5,-110.0,43.0,-110.0
4622240,1526,2021,19,Buffalo,Sat 1/15,8:15 PM,47,FINAL,144,-205.0,-4.0,-117.0,43.5,-110.0,62.5,50.0,75.0,90.0,50.0,0.0,-225.0,-4.5,-110.0,43.0,-105.0,-210.0,-4.5,-115.0,43.0,-105.0,-214.0,-4.5,101.0,43.0,-102.0,-214.0,-4.5,101.0,43.0,-104.0,-220.0,-5.0,-105.0,43.0,-105.0,-215.0,-4.5,-110.0,43.0,-110.0,-220.0,-4.5,-108.0,43.5,-108.0,-211.0,-4.5,-105.0,43.0,-107.0,-220.0,-4.5,-115.0,42.5,-110.0,-214.0,-4.5,101.0,43.0,-104.0,-215.0,-4.5,-110.0,43.0,-110.0
