eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds,123_ml,123_spr,123_spr_odds,123_ou,123_ou_odds
4407263,1533,279,2021,4,Mon 10/4,8:15 PM,Las Vegas,14,FINAL,24.0,60.0,54.84,170.0,54.55,0.0,159.0,3.0,100.0,52.5,-110.0,145.0,3.0,100.0,52.0,-105.0,144.0,3.0,-101.0,52.0,-103.0,148.0,3.0,100.0,51.5,-110.0,145.0,3.0,100.0,51.5,-110.0,140.0,3.0,-110.0,51.5,-110.0,145.0,3.0,-103.0,52.0,-108.0,146.0,3.0,-101.0,51.5,-112.0,145.0,3.0,105.0,52.5,-110.0,148.0,3.0,100.0,51.5,-110.0,333.0,6.5,-120.0,48.0,-111.0
4407263,75380,280,2021,4,,,L.A. Chargers,28,,76.0,190.0,45.16,140.0,45.45,0.0,-179.0,-3.0,-120.0,52.5,-110.0,-170.0,-3.0,-120.0,52.0,-115.0,-161.0,-3.0,-109.0,52.0,-108.0,-168.0,-3.0,-120.0,51.5,-110.0,-165.0,-3.0,-120.0,51.5,-110.0,-160.0,-3.0,-110.0,51.5,-110.0,-165.0,-3.0,-113.0,52.0,-108.0,-166.0,-3.0,-119.0,51.5,-108.0,-170.0,-3.0,-125.0,52.5,-110.0,-168.0,-3.0,-120.0,51.5,-110.0,-388.0,-6.5,100.0,48.0,-109.0
4407259,1535,263,2021,4,Sun 10/3,1:00 PM,N.Y. Giants,27,FINAL OT,75.0,90.0,75.0,30.0,33.33,0.0,295.0,6.5,-110.0,47.0,-110.0,270.0,7.5,-120.0,43.0,-110.0,286.0,7.5,-118.0,43.0,-115.0,285.0,7.0,-110.0,42.5,-110.0,275.0,7.5,-120.0,43.0,-110.0,275.0,7.0,-110.0,42.0,-110.0,270.0,7.0,-108.0,43.0,-108.0,262.0,7.0,-108.0,43.0,-110.0,280.0,7.0,-110.0,42.5,-110.0,285.0,7.0,-110.0,42.5,-110.0,361.0,3.5,-174.0,47.5,204.0
4407259,1543,264,2021,4,,,New Orleans,21,,25.0,30.0,25.0,10.0,66.67,0.0,-365.0,-6.5,-110.0,47.0,-110.0,-340.0,-7.5,100.0,43.0,-110.0,-337.0,-7.5,107.0,43.0,103.0,-345.0,-7.0,-110.0,42.5,-110.0,-340.0,-7.5,100.0,43.0,-110.0,-335.0,-7.0,-110.0,42.0,-110.0,-330.0,-7.0,-108.0,43.0,-108.0,-322.0,-7.0,-112.0,43.0,-110.0,-350.0,-7.0,-110.0,42.5,-110.0,-345.0,-7.0,-110.0,42.5,-110.0,-441.0,-3.5,154.0,47.5,-239.0
4407260,1531,265,2021,4,Sun 10/3,1:00 PM,Kansas City,42,FINAL,12.5,10.0,57.14,40.0,60.69,0.0,-255.0,-6.0,-105.0,55.0,-110.0,-360.0,-7.5,100.0,53.5,-110.0,-349.0,-7.5,101.0,53.5,-106.0,-355.0,-7.0,-110.0,54.0,-110.0,-340.0,-7.0,-115.0,54.0,-110.0,-320.0,-7.0,100.0,54.5,-110.0,-350.0,-7.0,-108.0,54.0,-108.0,-327.0,-7.0,-111.0,53.5,-112.0,-355.0,-7.0,-115.0,54.0,-110.0,-355.0,-7.0,-110.0,54.0,-110.0,-2122.0,-11.5,-104.0,66.5,204.0
4407260,1536,266,2021,4,,,Philadelphia,30,,87.5,70.0,42.86,30.0,39.31,0.0,215.0,6.0,-115.0,55.0,-110.0,280.0,7.5,-120.0,53.5,-110.0,296.0,7.5,-112.0,53.5,-105.0,295.0,7.0,-110.0,54.0,-110.0,275.0,7.0,-105.0,54.0,-110.0,260.0,7.0,-120.0,54.5,-110.0,280.0,7.0,-108.0,54.0,-108.0,267.0,7.0,-109.0,53.5,-108.0,285.0,7.0,-105.0,54.0,-110.0,295.0,7.0,-110.0,54.0,-110.0,1292.0,11.5,-116.0,66.5,-239.0
4407262,1530,267,2021,4,Sun 10/3,1:00 PM,Houston,0,FINAL,100.0,20.0,25.0,10.0,16.67,0.0,790.0,16.5,-110.0,48.0,-110.0,850.0,18.5,-110.0,47.5,-110.0,988.0,19.0,-108.0,47.5,-105.0,1085.0,18.5,-110.0,47.5,-110.0,800.0,18.5,-110.0,47.5,-110.0,1000.0,18.0,-110.0,47.0,-110.0,1110.0,18.5,-108.0,47.5,-108.0,1065.0,18.5,-110.0,47.5,-109.0,995.0,18.5,-110.0,47.5,-110.0,1085.0,18.5,-110.0,47.5,-110.0,844.0,26.5,106.0,34.5,163.0
4407262,1526,268,2021,4,,,Buffalo,40,,0.0,0.0,75.0,30.0,83.33,0.0,-1300.0,-16.5,-110.0,48.0,-110.0,-1700.0,-18.5,-110.0,47.5,-110.0,-1500.0,-19.0,-102.0,47.5,-106.0,-1685.0,-18.5,-110.0,47.5,-110.0,-1600.0,-18.5,-110.0,47.5,-110.0,-1800.0,-18.0,-110.0,47.0,-110.0,-1660.0,-18.5,-108.0,47.5,-108.0,-1615.0,-18.5,-110.0,47.5,-111.0,-1790.0,-18.5,-110.0,47.5,-110.0,-1685.0,-18.5,-110.0,47.5,-110.0,-1329.0,-26.5,-126.0,34.5,-191.0
4407264,1545,261,2021,4,Sun 10/3,1:00 PM,Carolina,28,FINAL,42.86,30.0,40.0,40.0,100.0,0.0,175.0,4.5,-110.0,50.0,-110.0,195.0,4.5,-105.0,51.5,-110.0,186.0,4.5,-106.0,51.5,102.0,180.0,4.5,-110.0,51.5,-110.0,180.0,4.5,-110.0,51.5,-105.0,180.0,4.0,-110.0,51.5,-110.0,180.0,4.5,-108.0,51.5,-108.0,176.0,4.5,-113.0,51.0,-115.0,180.0,5.0,-115.0,51.5,-110.0,180.0,4.5,-110.0,51.5,-110.0,577.0,17.5,100.0,60.5,-107.0
4407264,1538,262,2021,4,,,Dallas,36,,57.14,40.0,60.0,60.0,0.0,0.0,-205.0,-4.5,-110.0,50.0,-110.0,-235.0,-4.5,-115.0,51.5,-110.0,-210.0,-4.5,-104.0,51.5,-114.0,-220.0,-4.5,-110.0,51.5,-110.0,-220.0,-4.5,-110.0,51.5,-115.0,-210.0,-4.0,-110.0,51.5,-110.0,-210.0,-4.5,-108.0,51.5,-108.0,-206.0,-4.5,-107.0,51.0,-105.0,-220.0,-5.0,-105.0,51.5,-110.0,-220.0,-4.5,-110.0,51.5,-110.0,-852.0,-17.5,-120.0,60.5,-113.0
