game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,10_moneyline,10_spread,10_spread_odds,10_total,10_total_odds,16_moneyline,16_spread,16_spread_odds,16_total,16_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds,123_moneyline,123_spread,123_spread_odds,123_total,123_total_odds,127_moneyline,127_spread,127_spread_odds,127_total,127_total_odds
4700748,1538,2023,6,Dallas,Mon 10/16,8:15 PM,20,FINAL,277,-130.0,-2.5,-115.0,48.5,-110.0,43.7,1770.0,46.34,4870.0,64.12,0.0,-128.0,-1.5,-112.0,49.5,-110.0,-130.0,-1.5,-110.0,49.5,-115.0,-125.0,-1.5,-115.0,50.0,-105.0,-125.0,-1.5,-112.0,50.0,-116.0,-124.0,-1.5,-107.0,50.0,-102.0,-125.0,-1.0,-115.0,50.0,-110.0,-125.0,-1.5,-115.0,49.5,-110.0,-120.0,-1.0,-110.0,50.0,-110.0,-130.0,-2.0,-108.0,50.0,-108.0,-127.0,-2.0,-110.0,50.0,-110.0,-125.0,-1.0,-115.0,50.0,-110.0,-125.0,-1.5,-110.0,50.0,-110.0,-125.0,-2.5,-110.0,50.0,-110.0
4700748,75380,2023,6,L.A. Chargers,Mon 10/16,8:15 PM,17,FINAL,278,110.0,2.5,-105.0,48.5,-110.0,56.3,2280.0,53.66,5640.0,35.88,0.0,108.0,1.5,-108.0,49.5,-110.0,110.0,1.5,-110.0,49.5,-105.0,105.0,1.5,-105.0,50.0,-115.0,105.0,1.5,-108.0,50.0,-104.0,111.0,1.5,-103.0,50.0,-110.0,105.0,1.0,-105.0,50.0,-110.0,105.0,1.5,-105.0,49.5,-110.0,100.0,1.0,-110.0,50.0,-110.0,110.0,2.0,-108.0,50.0,-108.0,107.0,2.0,-110.0,50.0,-110.0,105.0,1.0,-105.0,50.0,-110.0,105.0,1.5,-110.0,50.0,-110.0,104.0,2.5,-120.0,50.0,-110.0
4700588,1521,2023,6,Baltimore,Sun 10/15,9:30 AM,24,FINAL,251,-190.0,-2.5,-110.0,41.0,-110.0,14.25,510.0,41.58,3530.0,47.73,0.0,-250.0,-5.5,-112.0,42.5,-111.0,-235.0,-4.5,-115.0,42.5,-105.0,-250.0,-5.0,-114.0,42.0,-110.0,-250.0,-5.0,-106.0,42.0,-110.0,-219.0,-5.5,106.0,42.5,-103.0,-238.0,-5.5,-110.0,42.0,-110.0,-220.0,-4.5,-110.0,42.5,-110.0,-245.0,-5.5,-110.0,42.5,-110.0,-250.0,-5.5,-108.0,42.5,-108.0,-233.0,-5.0,-110.0,42.0,-109.0,-238.0,-5.5,-110.0,42.0,-110.0,-250.0,-5.5,-110.0,42.5,-105.0,-244.0,-6.0,-108.0,42.5,-110.0
4700588,1528,2023,6,Tennessee,Sun 10/15,9:30 AM,16,FINAL,252,165.0,2.5,-110.0,41.0,-110.0,85.75,3070.0,58.42,4960.0,52.27,0.0,210.0,5.5,-108.0,42.5,-109.0,195.0,4.5,-105.0,42.5,-115.0,207.0,5.0,-106.0,42.0,-110.0,207.0,5.0,-114.0,42.0,-110.0,193.0,5.5,-117.0,42.5,-109.0,198.0,5.5,-110.0,42.0,-110.0,170.0,4.5,-110.0,42.5,-110.0,205.0,5.5,-110.0,42.5,-110.0,210.0,5.5,-108.0,42.5,-108.0,198.0,5.0,-110.0,42.0,-111.0,198.0,5.5,-110.0,42.0,-110.0,200.0,5.5,-110.0,42.5,-115.0,199.0,6.0,-123.0,42.5,-110.0
4700736,1537,2023,6,Washington,Sun 10/15,1:00 PM,24,FINAL,253,115.0,1.0,-110.0,42.0,-110.0,44.07,1710.0,42.5,4620.0,67.09,0.0,107.0,1.5,-107.0,42.5,-105.0,110.0,2.0,-110.0,42.0,-110.0,105.0,1.5,-110.0,42.0,-110.0,105.0,1.5,-110.0,42.0,-110.0,112.0,1.0,107.0,41.5,-107.0,105.0,2.0,-120.0,42.0,-110.0,105.0,1.5,-105.0,42.0,-110.0,105.0,1.5,-110.0,42.0,-110.0,105.0,1.5,-108.0,41.5,-108.0,106.0,1.5,-110.0,41.5,-110.0,105.0,2.0,-120.0,42.0,-110.0,105.0,1.5,-105.0,41.5,-110.0,104.0,1.5,-111.0,41.5,-108.0
4700736,1546,2023,6,Atlanta,Sun 10/15,1:00 PM,16,FINAL,254,-135.0,-1.0,-110.0,42.0,-110.0,55.93,2170.0,57.5,6250.0,32.91,0.0,-127.0,-1.5,-113.0,42.5,-115.0,-130.0,-2.0,-110.0,42.0,-110.0,-125.0,-1.5,-110.0,42.0,-110.0,-125.0,-1.5,-110.0,42.0,-110.0,-125.0,-1.0,-118.0,41.5,-105.0,-125.0,-2.0,100.0,42.0,-110.0,-125.0,-1.5,-115.0,42.0,-110.0,-125.0,-1.5,-110.0,42.0,-110.0,-125.0,-1.5,-108.0,41.5,-108.0,-126.0,-1.5,-110.0,41.5,-110.0,-125.0,-2.0,100.0,42.0,-110.0,-125.0,-1.5,-115.0,41.5,-110.0,-125.0,-1.5,-119.0,41.5,-111.0
4700738,1547,2023,6,San Francisco,Sun 10/15,1:00 PM,17,FINAL,259,-210.0,-3.0,-110.0,42.0,-110.0,4.33,290.0,12.38,2140.0,56.88,0.0,-500.0,-9.5,-110.0,36.0,-110.0,-480.0,-9.5,-110.0,36.0,-110.0,-490.0,-9.0,-106.0,36.0,-110.0,-490.0,-9.0,-106.0,36.0,-110.0,-425.0,-8.5,-105.0,36.0,-101.0,-550.0,-10.0,100.0,36.0,-110.0,-500.0,-9.5,-115.0,36.0,-110.0,-500.0,-9.5,-110.0,36.0,-110.0,-475.0,-9.0,-108.0,36.5,-108.0,-468.0,-9.0,100.0,36.5,-110.0,-550.0,-10.0,100.0,36.0,-110.0,-550.0,-9.5,-115.0,36.5,-110.0,-526.0,-10.0,-104.0,36.0,-110.0
4700738,1520,2023,6,Cleveland,Sun 10/15,1:00 PM,19,FINAL,260,180.0,3.0,-110.0,42.0,-110.0,95.67,6410.0,87.62,15150.0,43.12,0.0,395.0,9.5,-110.0,36.0,-110.0,350.0,9.5,-110.0,36.0,-110.0,377.0,9.0,-114.0,36.0,-110.0,377.0,9.0,-114.0,36.0,-110.0,345.0,8.5,-106.0,36.0,-111.0,430.0,10.0,-120.0,36.0,-110.0,375.0,9.5,-105.0,36.0,-110.0,400.0,9.5,-110.0,36.0,-110.0,375.0,9.0,-108.0,36.5,-108.0,368.0,9.0,-120.0,36.5,-110.0,430.0,10.0,-120.0,36.0,-110.0,380.0,9.5,-105.0,36.5,-110.0,386.0,10.0,-109.0,36.0,-110.0
4700739,1543,2023,6,New Orleans,Sun 10/15,1:00 PM,13,FINAL,261,-140.0,0.0,-110.0,40.5,-110.0,43.51,1140.0,39.29,3890.0,57.63,0.0,-131.0,-2.0,-115.0,42.5,-107.0,-135.0,-1.5,-110.0,42.0,-110.0,-127.0,-1.5,-110.0,41.5,-121.0,-127.0,-1.5,-110.0,41.5,-121.0,-119.0,-2.0,101.0,42.5,101.0,-140.0,-2.0,-110.0,42.0,-110.0,-135.0,-2.0,-115.0,42.0,-110.0,-135.0,-2.0,-110.0,42.0,-110.0,-135.0,-2.0,-108.0,41.5,-108.0,-133.0,-2.0,-116.0,41.5,-110.0,-140.0,-2.0,-110.0,42.0,-110.0,-140.0,-2.5,-113.0,41.5,-110.0,-133.0,-2.5,-112.0,42.5,-109.0
4700739,1530,2023,6,Houston,Sun 10/15,1:00 PM,20,FINAL,262,120.0,0.0,-110.0,40.5,-110.0,56.49,1480.0,60.71,6010.0,42.37,0.0,111.0,2.0,-105.0,42.5,-113.0,115.0,1.5,-110.0,42.0,-110.0,107.0,1.5,-110.0,41.5,100.0,107.0,1.5,-110.0,41.5,100.0,107.0,2.0,-111.0,42.5,-114.0,120.0,2.0,-110.0,42.0,-110.0,115.0,2.0,-105.0,42.0,-110.0,115.0,2.0,-110.0,42.0,-110.0,115.0,2.0,-108.0,41.5,-108.0,113.0,2.0,-104.0,41.5,-110.0,120.0,2.0,-110.0,42.0,-110.0,120.0,2.5,-107.0,41.5,-110.0,111.0,2.5,-118.0,42.5,-111.0
