game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,10_moneyline,10_spread,10_spread_odds,10_total,10_total_odds,16_moneyline,16_spread,16_spread_odds,16_total,16_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds,123_moneyline,123_spread,123_spread_odds,123_total,123_total_odds,127_moneyline,127_spread,127_spread_odds,127_total,127_total_odds
4733430,1530,2024,11,Houston,Mon 11/18,8:15 PM,34,FINAL,475,-325.0,-6.0,-110.0,43.5,-110.0,14.62,630.0,26.0,3180.0,61.97,0.0,-360.0,-7.0,-110.0,41.5,-115.0,-330.0,-7.0,-115.0,41.5,-110.0,-372.0,-7.0,-121.0,41.5,-105.0,-372.0,-7.0,-121.0,41.5,-105.0,-306.0,-7.0,-101.0,41.5,-110.0,-326.0,-7.0,-110.0,41.5,-117.0,-370.0,-7.0,-115.0,41.5,-115.0,-355.0,-7.0,-118.0,41.5,-118.0,-355.0,-7.0,-113.0,42.0,-108.0,-352.0,-7.0,-110.0,42.0,-110.0,-370.0,-7.0,-115.0,41.0,-110.0,-326.0,-7.0,-110.0,41.5,-117.0,-370.0,-7.0,-120.0,41.0,-110.0,-360.0,-7.0,-120.0,41.5,-115.0
4733430,1538,2024,11,Dallas,Mon 11/18,8:15 PM,10,FINAL,476,270.0,6.0,-110.0,43.5,-110.0,85.38,3680.0,74.0,9050.0,38.03,0.0,290.0,7.0,-110.0,41.5,-105.0,265.0,7.0,-105.0,41.5,-110.0,297.0,7.0,101.0,41.5,-115.0,297.0,7.0,101.0,41.5,-115.0,263.0,7.0,-109.0,41.5,-102.0,271.0,7.0,-110.0,41.5,-103.0,295.0,7.0,-105.0,41.5,-105.0,295.0,7.0,-118.0,41.5,-118.0,285.0,7.0,-103.0,42.0,-108.0,282.0,7.0,-110.0,42.0,-110.0,280.0,7.0,-105.0,41.0,-110.0,271.0,7.0,-110.0,41.5,-103.0,292.0,7.0,100.0,41.0,-110.0,275.0,7.0,100.0,41.5,-105.0
4733418,1550,2024,11,L.A. Rams,Sun 11/17,1:00 PM,28,FINAL,455,-220.0,-5.5,-110.0,43.0,-110.0,17.55,1030.0,36.46,3890.0,41.15,0.0,-207.0,-4.0,-110.0,42.5,-110.0,-210.0,-4.0,-110.0,42.0,-115.0,-200.0,-4.0,-110.0,43.5,-105.0,-200.0,-4.0,-110.0,43.5,-105.0,-199.0,-4.0,-102.0,43.0,106.0,-199.0,-4.0,-109.0,42.0,-110.0,-205.0,-4.0,-110.0,42.0,-110.0,-210.0,-4.0,-118.0,42.0,-118.0,-200.0,-4.0,-108.0,42.5,-108.0,-210.0,-4.0,-110.0,42.0,-110.0,-208.0,-4.0,-110.0,43.5,-110.0,-199.0,-4.0,-114.0,42.5,-110.0,-210.0,-4.0,-110.0,43.0,-110.0,-200.0,-4.0,-110.0,43.0,-110.0
4733418,1525,2024,11,New England,Sun 11/17,1:00 PM,22,FINAL,456,190.0,5.5,-110.0,43.0,-110.0,82.45,4840.0,63.54,6780.0,58.85,0.0,177.0,4.0,-110.0,42.5,-110.0,175.0,4.0,-110.0,42.0,-105.0,170.0,4.0,-110.0,43.5,-115.0,170.0,4.0,-110.0,43.5,-115.0,177.0,4.0,-108.0,43.0,-119.0,176.0,4.0,-111.0,42.0,-110.0,175.0,4.0,-110.0,42.0,-110.0,180.0,4.0,-118.0,42.0,-118.0,170.0,4.0,-108.0,42.5,-108.0,180.0,4.0,-110.0,42.0,-110.0,167.0,4.0,-110.0,43.5,-110.0,176.0,4.0,-106.0,42.5,-110.0,175.0,4.0,-110.0,43.0,-110.0,170.0,4.0,-110.0,43.0,-110.0
4733419,1533,2024,11,Las Vegas,Sun 11/17,1:00 PM,19,FINAL,459,320.0,7.0,-110.0,45.5,-110.0,90.15,6500.0,80.16,9010.0,73.6,0.0,330.0,8.0,-109.0,43.5,-108.0,305.0,8.0,-105.0,43.5,-105.0,320.0,8.0,-111.0,44.0,-106.0,320.0,8.0,-111.0,44.0,-106.0,324.0,8.0,-106.0,44.0,104.0,340.0,8.0,-109.0,43.5,-110.0,315.0,8.0,-110.0,43.5,-110.0,340.0,8.0,-118.0,43.5,-118.0,335.0,8.0,-108.0,43.5,-108.0,324.0,8.0,-110.0,43.5,-110.0,290.0,7.5,-110.0,43.5,-110.0,340.0,8.0,-104.0,44.0,-110.0,330.0,7.5,-105.0,43.5,-110.0,295.0,7.5,-110.0,43.5,-110.0
4733419,1524,2024,11,Miami,Sun 11/17,1:00 PM,34,FINAL,460,-400.0,-7.0,-110.0,45.5,-110.0,9.85,710.0,19.84,2230.0,26.4,0.0,-410.0,-8.0,-111.0,43.5,-112.0,-410.0,-8.0,-115.0,43.5,-115.0,-405.0,-8.0,-109.0,44.0,-114.0,-405.0,-8.0,-109.0,44.0,-114.0,-388.0,-8.0,-104.0,44.0,-117.0,-400.0,-8.0,-111.0,43.5,-110.0,-400.0,-8.0,-110.0,43.5,-110.0,-420.0,-8.0,-118.0,43.5,-118.0,-425.0,-8.0,-108.0,43.5,-108.0,-404.0,-8.0,-110.0,43.5,-110.0,-391.0,-7.5,-110.0,43.5,-110.0,-400.0,-8.0,-116.0,44.0,-110.0,-410.0,-7.5,-115.0,43.5,-110.0,-390.0,-7.5,-110.0,43.5,-110.0
4733420,1542,2024,11,Green Bay,Sun 11/17,1:00 PM,20,FINAL,451,-260.0,-3.0,-104.0,44.5,-110.0,17.62,1320.0,30.15,4070.0,60.22,0.0,-275.0,-6.0,-110.0,41.0,-108.0,-275.0,-6.0,-110.0,41.0,105.0,-280.0,-6.0,-110.0,41.0,-106.0,-280.0,-6.0,-110.0,41.0,-106.0,-251.0,-6.0,-100.0,41.0,-102.0,-265.0,-6.0,-110.0,41.0,-110.0,-260.0,-6.0,-110.0,41.0,-110.0,-270.0,-6.0,-118.0,41.0,-118.0,-270.0,-6.0,-108.0,41.0,-108.0,-261.0,-6.0,-110.0,41.0,-113.0,-260.0,-5.5,-115.0,41.0,-110.0,-265.0,-5.5,-110.0,41.0,-105.0,-270.0,-6.0,-110.0,40.5,-110.0,-265.0,-6.0,-110.0,40.5,-115.0
4733420,1540,2024,11,Chicago,Sun 11/17,1:00 PM,19,FINAL,452,220.0,3.0,-116.0,44.5,-110.0,82.38,6170.0,69.85,9430.0,39.78,0.0,230.0,6.0,-110.0,41.0,-112.0,225.0,6.0,-110.0,41.0,-125.0,229.0,6.0,-110.0,41.0,-114.0,229.0,6.0,-110.0,41.0,-114.0,220.0,6.0,-110.0,41.0,-110.0,230.0,6.0,-110.0,41.0,-110.0,220.0,6.0,-110.0,41.0,-110.0,230.0,6.0,-118.0,41.0,-118.0,220.0,6.0,-108.0,41.0,-108.0,211.0,6.0,-110.0,41.0,-107.0,204.0,5.5,-110.0,41.0,-110.0,230.0,5.5,-110.0,41.0,-115.0,225.0,6.0,-110.0,40.5,-110.0,210.0,6.0,-110.0,40.5,-105.0
4733421,1529,2024,11,Jacksonville,Sun 11/17,1:00 PM,6,FINAL,461,550.0,11.0,-110.0,51.5,-110.0,95.79,7060.0,81.41,9240.0,67.44,0.0,700.0,14.0,-112.0,47.5,-110.0,650.0,14.0,-110.0,47.5,-110.0,668.0,14.0,-118.0,47.0,-111.0,668.0,14.0,-118.0,47.0,-111.0,643.0,14.0,-109.0,47.5,-106.0,576.0,14.0,-114.0,47.5,-110.0,650.0,14.0,-115.0,47.5,-110.0,650.0,13.5,-118.0,47.5,-118.0,640.0,14.0,-108.0,47.5,-108.0,601.0,14.0,-110.0,47.5,-110.0,630.0,14.0,-110.0,47.5,-110.0,576.0,13.5,-109.0,47.5,-115.0,650.0,14.0,-115.0,47.5,-110.0,500.0,14.0,-120.0,47.5,-110.0
4733421,1539,2024,11,Detroit,Sun 11/17,1:00 PM,52,FINAL,462,-750.0,-11.0,-110.0,51.5,-110.0,4.21,310.0,18.59,2110.0,32.56,0.0,-1100.0,-14.0,-108.0,47.5,-110.0,-1100.0,-14.0,-110.0,47.5,-110.0,-1009.0,-14.0,-102.0,47.0,-109.0,-1009.0,-14.0,-102.0,47.0,-109.0,-871.0,-14.0,-101.0,47.5,-106.0,-851.0,-14.0,-106.0,47.5,-110.0,-1000.0,-14.0,-105.0,47.5,-110.0,-1000.0,-13.5,-118.0,47.5,-118.0,-890.0,-14.0,-108.0,47.5,-108.0,-851.0,-14.0,-110.0,47.5,-110.0,-1099.0,-14.0,-110.0,47.5,-110.0,-851.0,-13.5,-111.0,47.5,-105.0,-1000.0,-14.0,-105.0,47.5,-110.0,-800.0,-14.0,100.0,47.5,-110.0
