eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds,123_ml,123_spr,123_spr_odds,123_ou,123_ou_odds,127_ml,127_spr,127_spr_odds,127_ou,127_ou_odds
4733461,1521,273,2024,12,Mon 11/25,8:15 PM,Baltimore,30,FINAL,39.13,1620.0,32.87,3780.0,65.02,0.0,-155.0,-3.0,-115.0,47.5,-110.0,-153.0,-3.0,-105.0,50.5,-110.0,-150.0,-3.0,100.0,51.0,-105.0,-155.0,-3.0,-104.0,51.0,-105.0,-155.0,-3.0,-104.0,51.0,-105.0,-150.0,-3.0,103.0,51.0,103.0,-166.0,-3.0,-110.0,50.5,-106.0,-160.0,-3.0,-115.0,51.0,-105.0,-160.0,-3.0,-110.0,51.0,-118.0,-150.0,-3.0,-103.0,51.0,-108.0,-148.0,-3.0,-105.0,51.0,-110.0,-155.0,-2.5,-120.0,51.0,-110.0,-165.0,-3.0,-115.0,50.5,-107.0,-160.0,-3.0,-110.0,51.0,-107.0,-163.0,-3.0,-111.0,51.0,-120.0
4733461,75380,274,2024,12,,,L.A. Chargers,23,,60.87,2520.0,67.13,7720.0,34.98,0.0,135.0,3.0,-105.0,47.5,-110.0,133.0,3.0,-115.0,50.5,-110.0,130.0,3.0,-120.0,51.0,-115.0,135.0,3.0,-116.0,51.0,-115.0,135.0,3.0,-116.0,51.0,-115.0,135.0,3.0,-114.0,51.0,-116.0,146.0,3.0,-110.0,50.5,-114.0,140.0,3.0,-105.0,51.0,-115.0,140.0,3.0,-125.0,51.0,-118.0,130.0,3.0,-113.0,51.0,-108.0,128.0,3.0,-115.0,51.0,-110.0,126.0,2.5,100.0,51.0,-110.0,145.0,3.0,-105.0,50.5,-113.0,140.0,3.0,-110.0,51.0,-113.0,143.0,3.0,-109.0,51.0,100.0
4733432,1544,259,2024,12,Sun 11/24,1:00 PM,Tampa Bay,30,FINAL,26.66,1650.0,23.68,3010.0,62.06,0.0,-190.0,-3.5,-110.0,43.5,-110.0,-265.0,-6.0,-110.0,40.0,-109.0,-270.0,-6.0,-110.0,39.5,-105.0,-280.0,-6.0,-113.0,40.0,-110.0,-280.0,-6.0,-113.0,40.0,-109.0,-249.0,-6.0,-103.0,39.5,-107.0,-274.0,-6.0,-112.0,40.0,-113.0,-270.0,-6.0,-110.0,40.0,-110.0,-265.0,-6.0,-118.0,40.0,-118.0,-270.0,-6.0,-108.0,40.0,-108.0,-268.0,-6.0,-110.0,40.0,-114.0,-280.0,-6.0,-110.0,40.5,-110.0,-274.0,-6.0,-112.0,40.0,-113.0,-280.0,-6.0,-110.0,40.0,-110.0,-250.0,-6.5,-103.0,40.0,-110.0
4733432,1535,260,2024,12,,,N.Y. Giants,7,,73.34,4540.0,76.32,9700.0,37.94,0.0,165.0,3.5,-110.0,43.5,-110.0,225.0,6.0,-110.0,40.0,-111.0,220.0,6.0,-110.0,39.5,-115.0,230.0,6.0,-107.0,40.0,-110.0,230.0,6.0,-107.0,40.0,-111.0,218.0,6.0,-107.0,39.5,-105.0,239.0,6.0,-108.0,40.0,-107.0,230.0,6.0,-110.0,40.0,-110.0,225.0,6.0,-118.0,40.0,-118.0,220.0,6.0,-108.0,40.0,-108.0,218.0,6.0,-110.0,40.0,-106.0,222.0,6.0,-110.0,40.5,-110.0,239.0,6.0,-108.0,40.0,-107.0,230.0,6.0,-110.0,40.0,-110.0,216.0,6.5,-117.0,40.0,-110.0
4733433,1539,251,2024,12,Sun 11/24,1:00 PM,Detroit,24,FINAL,17.36,1170.0,21.53,3620.0,82.23,0.0,-350.0,-7.0,-110.0,50.5,-110.0,-350.0,-7.0,-108.0,50.5,-110.0,-330.0,-7.0,-105.0,50.5,100.0,-380.0,-7.0,-110.0,50.5,-110.0,-370.0,-7.0,-110.0,50.5,-110.0,-305.0,-7.0,102.0,50.5,-102.0,-340.0,-7.0,-108.0,50.0,-111.0,-360.0,-7.0,-115.0,50.5,-115.0,-335.0,-7.0,-110.0,50.5,-118.0,-350.0,-7.0,-108.0,50.0,-108.0,-347.0,-7.0,-104.0,50.0,-110.0,-391.0,-7.5,-100.0,50.0,-110.0,-340.0,-7.0,-108.0,50.0,-111.0,-370.0,-7.0,-110.0,50.5,-110.0,-350.0,-7.0,-115.0,50.5,-110.0
4733433,1527,252,2024,12,,,Indianapolis,6,,82.64,5570.0,78.47,13190.0,17.77,0.0,280.0,7.0,-110.0,50.5,-110.0,280.0,7.0,-112.0,50.5,-110.0,265.0,7.0,-115.0,50.5,-120.0,303.0,7.0,-110.0,50.5,-110.0,296.0,7.0,-110.0,50.5,-110.0,262.0,7.0,-113.0,50.5,-110.0,285.0,7.0,-112.0,50.0,-109.0,290.0,7.0,-105.0,50.5,-105.0,275.0,7.0,-125.0,50.5,-118.0,280.0,7.0,-108.0,50.0,-108.0,277.0,7.0,-116.0,50.0,-110.0,295.0,7.5,-120.0,50.0,-110.0,285.0,7.0,-112.0,50.0,-109.0,292.0,7.0,-110.0,50.5,-110.0,280.0,7.0,-105.0,50.5,-110.0
4733434,1528,263,2024,12,Sun 11/24,1:00 PM,Tennessee,32,FINAL,84.64,5290.0,78.53,10390.0,69.2,0.0,335.0,9.0,-110.0,42.5,-110.0,330.0,8.0,-108.0,40.5,-115.0,305.0,8.0,-115.0,41.0,-115.0,298.0,7.5,-108.0,40.5,-111.0,298.0,7.5,-108.0,40.5,-111.0,322.0,8.0,-104.0,40.5,-115.0,340.0,8.5,-109.0,41.0,-114.0,315.0,8.5,-110.0,41.0,-110.0,340.0,8.0,-118.0,41.0,-118.0,310.0,8.0,-108.0,40.5,-108.0,309.0,8.0,-110.0,40.5,-110.0,310.0,7.5,-110.0,40.5,-110.0,340.0,8.5,-109.0,41.0,-114.0,305.0,7.5,-105.0,40.5,-110.0,298.0,7.5,-110.0,40.5,-110.0
4733434,1530,264,2024,12,,,Houston,27,,15.36,960.0,21.47,2840.0,30.8,0.0,-415.0,-9.0,-110.0,42.5,-110.0,-410.0,-8.0,-112.0,40.5,-105.0,-410.0,-8.0,-105.0,41.0,-105.0,-372.0,-7.5,-112.0,40.5,-109.0,-372.0,-7.5,-112.0,40.5,-109.0,-384.0,-8.0,-106.0,40.5,102.0,-400.0,-8.5,-111.0,41.0,-106.0,-400.0,-8.5,-110.0,41.0,-110.0,-420.0,-8.0,-118.0,41.0,-118.0,-390.0,-8.0,-108.0,40.5,-108.0,-389.0,-8.0,-110.0,40.5,-110.0,-410.0,-7.5,-110.0,40.5,-110.0,-400.0,-8.5,-111.0,41.0,-106.0,-385.0,-7.5,-115.0,40.5,-110.0,-372.0,-7.5,-110.0,40.5,-110.0
4733435,1525,261,2024,12,Sun 11/24,1:00 PM,New England,15,FINAL,77.71,5160.0,78.87,10640.0,63.01,0.0,280.0,7.0,-110.0,43.5,-110.0,320.0,7.5,-115.0,45.5,-105.0,300.0,7.5,-115.0,45.0,-105.0,312.0,7.5,-112.0,46.0,-109.0,312.0,7.5,-113.0,46.0,-109.0,312.0,7.5,-104.0,45.5,104.0,305.0,7.5,-115.0,45.5,-110.0,295.0,7.5,-115.0,45.5,-110.0,310.0,7.5,-125.0,45.5,-118.0,310.0,7.5,-108.0,45.5,-108.0,292.0,7.5,-115.0,45.5,-110.0,280.0,7.5,-115.0,46.0,-110.0,305.0,7.5,-115.0,45.5,-110.0,310.0,7.5,-115.0,45.5,-110.0,309.0,7.0,100.0,46.0,-110.0
4733435,1524,262,2024,12,,,Miami,34,,22.29,1480.0,21.13,2850.0,36.99,0.0,-350.0,-7.0,-110.0,43.5,-110.0,-400.0,-7.5,-105.0,45.5,-115.0,-400.0,-7.5,-105.0,45.0,-115.0,-392.0,-7.5,-108.0,46.0,-111.0,-392.0,-7.5,-107.0,46.0,-111.0,-371.0,-7.5,-106.0,45.5,-117.0,-360.0,-7.5,-105.0,45.5,-110.0,-370.0,-7.5,-105.0,45.5,-110.0,-380.0,-7.5,-110.0,45.5,-118.0,-390.0,-7.5,-108.0,45.5,-108.0,-362.0,-7.5,-105.0,45.5,-110.0,-370.0,-7.5,-105.0,46.0,-110.0,-360.0,-7.5,-105.0,45.5,-110.0,-390.0,-7.5,-105.0,45.5,-110.0,-365.0,-7.0,-120.0,46.0,-110.0
