game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,10_moneyline,10_spread,10_spread_odds,10_total,10_total_odds,16_moneyline,16_spread,16_spread_odds,16_total,16_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds,123_moneyline,123_spread,123_spread_odds,123_total,123_total_odds,127_moneyline,127_spread,127_spread_odds,127_total,127_total_odds,130_moneyline,130_spread,130_spread_odds,130_total,130_total_odds
4765690,1541,2025,1,Minnesota,Mon 9/8,8:15 PM,27,FINAL,481,-105.0,1.5,-110.0,44.5,-110.0,62.18,1710.0,53.44,4190.0,50.92,0.0,-118.0,0.0,-109.0,43.5,-108.0,-115.0,-1.0,-105.0,43.5,-110.0,-108.0,-1.0,-105.0,43.5,-111.0,-109.0,-1.0,-105.0,43.5,-111.0,-108.0,-1.0,101.0,43.5,-103.0,-119.0,0.0,-111.0,43.5,-104.0,-115.0,-1.0,100.0,43.5,-110.0,-125.0,-1.5,-118.0,42.5,-118.0,-115.0,0.0,-108.0,43.5,-108.0,-106.0,1.0,-112.0,44.5,-107.0,-111.0,-1.0,-105.0,43.5,-110.0,-119.0,0.0,-111.0,43.5,-104.0,-114.0,0.0,-110.0,43.5,-105.0,-117.0,0.0,-110.0,43.5,-110.0,-111.0,-1.0,-103.0,43.5,-105.0
4765690,1540,2025,1,Chicago,Mon 9/8,8:15 PM,24,FINAL,482,-115.0,-1.5,-110.0,44.5,-110.0,37.82,1040.0,46.56,3650.0,49.08,0.0,-102.0,0.0,-111.0,43.5,-112.0,-105.0,1.0,-115.0,43.5,-110.0,-110.0,1.0,-115.0,43.5,-109.0,-109.0,1.0,-115.0,43.5,-109.0,-102.0,1.0,-112.0,43.5,-109.0,-101.0,0.0,-109.0,43.5,-116.0,-105.0,1.0,-120.0,43.5,-110.0,100.0,1.5,-118.0,42.5,-118.0,-105.0,0.0,-108.0,43.5,-108.0,-114.0,-1.0,-108.0,44.5,-113.0,-109.0,1.0,-115.0,43.5,-110.0,-101.0,0.0,-109.0,43.5,-116.0,-106.0,0.0,-110.0,43.5,-115.0,-103.0,0.0,-110.0,43.5,-110.0,101.0,1.0,-107.0,43.5,-107.0
4765677,1544,2025,1,Tampa Bay,Sun 9/7,1:00 PM,23,FINAL,469,-130.0,-2.0,-115.0,48.0,-110.0,39.74,600.0,43.87,3540.0,80.27,0.0,-103.0,1.0,-113.0,47.5,-113.0,-105.0,1.0,-115.0,47.0,-120.0,-104.0,1.0,-115.0,47.0,-120.0,-104.0,1.0,-115.0,47.0,-120.0,-101.0,-1.0,106.0,47.5,-101.0,-120.0,0.0,-109.0,47.0,-111.0,-110.0,-1.0,-105.0,47.5,-110.0,-125.0,-2.5,-118.0,48.5,-110.0,-120.0,0.0,-108.0,47.5,-108.0,-127.0,-2.5,-111.0,48.5,-108.0,-115.0,-1.0,-110.0,47.0,-110.0,-120.0,0.0,-109.0,47.0,-111.0,-110.0,0.0,-110.0,47.0,-110.0,-110.0,0.0,-110.0,47.5,-110.0,-101.0,-1.0,106.0,47.5,-103.0
4765677,1546,2025,1,Atlanta,Sun 9/7,1:00 PM,20,FINAL,470,110.0,2.0,-105.0,48.0,-110.0,60.26,910.0,56.13,4530.0,19.73,0.0,-117.0,-1.0,-107.0,47.5,-107.0,-115.0,-1.0,-105.0,47.0,100.0,-114.0,-1.0,-105.0,47.0,-101.0,-114.0,-1.0,-105.0,47.0,-101.0,-109.0,1.0,-117.0,47.5,-112.0,100.0,0.0,-111.0,47.0,-109.0,-110.0,1.0,-115.0,47.5,-110.0,100.0,2.5,-118.0,48.5,-125.0,100.0,0.0,-108.0,47.5,-108.0,107.0,2.5,-109.0,48.5,-112.0,-106.0,1.0,-110.0,47.0,-110.0,100.0,0.0,-111.0,47.0,-109.0,-110.0,0.0,-110.0,47.0,-110.0,-110.0,0.0,-110.0,47.5,-110.0,-109.0,1.0,-117.0,47.5,-110.0
4765678,1519,2025,1,Pittsburgh,Sun 9/7,1:00 PM,34,FINAL,455,-148.0,-3.0,-110.0,39.5,-110.0,24.59,1190.0,28.32,2940.0,35.39,0.0,-170.0,-3.0,-108.0,38.0,-110.0,-160.0,-3.0,-110.0,38.5,-105.0,-175.0,-3.0,-111.0,38.0,-110.0,-175.0,-3.0,-111.0,38.0,-110.0,-160.0,-3.0,-103.0,38.0,-116.0,-165.0,-3.0,-105.0,38.0,-110.0,-165.0,-3.0,-105.0,38.0,-110.0,-150.0,-2.5,-138.0,38.5,-110.0,-160.0,-3.0,-108.0,38.0,-108.0,-150.0,-3.0,-102.0,39.5,-109.0,-164.0,-3.0,-110.0,38.0,-110.0,-165.0,-3.0,-105.0,38.0,-110.0,-166.0,-3.0,-110.0,38.0,-110.0,-160.0,-3.0,-110.0,38.0,-110.0,-165.0,-3.0,-107.0,38.0,-110.0
4765678,1523,2025,1,N.Y. Jets,Sun 9/7,1:00 PM,32,FINAL,456,128.0,3.0,-110.0,39.5,-110.0,75.41,3650.0,71.68,7440.0,64.61,0.0,149.0,3.0,-112.0,38.0,-110.0,135.0,3.0,-110.0,38.5,-115.0,151.0,3.0,-109.0,38.0,-110.0,151.0,3.0,-109.0,38.0,-110.0,143.0,3.0,-107.0,38.0,103.0,145.0,3.0,-115.0,38.0,-110.0,145.0,3.0,-115.0,38.0,-110.0,120.0,2.5,100.0,38.5,-125.0,140.0,3.0,-108.0,38.0,-108.0,130.0,3.0,-118.0,39.5,-111.0,133.0,3.0,-110.0,38.0,-110.0,145.0,3.0,-115.0,38.0,-110.0,146.0,3.0,-110.0,38.0,-110.0,138.0,3.0,-110.0,38.0,-110.0,148.0,3.0,-103.0,38.0,-102.0
4765679,1524,2025,1,Miami,Sun 9/7,1:00 PM,8,FINAL,457,-115.0,1.5,-110.0,45.5,-110.0,36.67,770.0,26.94,2460.0,72.32,0.0,-104.0,1.0,-110.0,47.0,-105.0,100.0,1.5,-115.0,47.0,-115.0,102.0,1.0,-110.0,47.0,-115.0,102.0,1.0,-110.0,47.0,-115.0,106.0,1.0,-102.0,46.5,-118.0,100.0,1.0,-110.0,47.0,-110.0,-105.0,1.0,-110.0,47.0,-110.0,-110.0,0.5,-110.0,46.5,-118.0,100.0,1.0,-108.0,47.0,-108.0,-103.0,0.0,-111.0,46.5,-108.0,-104.0,1.0,-110.0,46.5,-110.0,100.0,1.0,-110.0,47.0,-110.0,-102.0,1.0,-110.0,47.0,-110.0,100.0,0.0,-105.0,47.0,-110.0,105.0,1.0,-101.0,46.5,-109.0
4765679,1527,2025,1,Indianapolis,Sun 9/7,1:00 PM,33,FINAL,458,-105.0,-1.5,-110.0,45.5,-110.0,63.33,1330.0,73.06,6670.0,27.68,0.0,-116.0,-1.0,-110.0,47.0,-115.0,-120.0,-1.5,-105.0,47.0,-105.0,-117.0,-1.0,-110.0,47.0,-105.0,-118.0,-1.0,-110.0,47.0,-105.0,-117.0,-1.0,-108.0,46.5,105.0,-120.0,-1.0,-110.0,47.0,-110.0,-115.0,-1.0,-110.0,47.0,-110.0,-110.0,-0.5,-110.0,46.5,-118.0,-120.0,-1.0,-108.0,47.0,-108.0,-117.0,0.0,-109.0,46.5,-112.0,-118.0,-1.0,-110.0,46.5,-110.0,-120.0,-1.0,-110.0,47.0,-110.0,-118.0,-1.0,-110.0,47.0,-110.0,-120.0,0.0,-115.0,47.0,-110.0,-116.0,-1.0,-109.0,46.5,-103.0
4765680,1545,2025,1,Carolina,Sun 9/7,1:00 PM,10,FINAL,459,130.0,2.5,100.0,46.5,-110.0,80.05,3210.0,61.07,5240.0,53.65,0.0,189.0,4.5,-110.0,45.5,-105.0,190.0,5.0,-110.0,44.5,-115.0,198.0,4.5,-114.0,45.0,-111.0,198.0,4.5,-114.0,45.0,-111.0,200.0,4.5,100.0,45.0,-102.0,190.0,4.5,-110.0,45.0,-110.0,185.0,4.5,-110.0,45.5,-110.0,160.0,3.5,-118.0,45.5,-110.0,185.0,4.5,-108.0,45.0,-108.0,127.0,3.0,-121.0,46.5,-110.0,176.0,4.5,-110.0,46.0,-110.0,190.0,4.5,-110.0,45.5,-110.0,180.0,4.0,-105.0,45.5,-110.0,185.0,4.5,-110.0,45.0,-110.0,194.0,4.5,-101.0,46.0,102.0
4765680,1529,2025,1,Jacksonville,Sun 9/7,1:00 PM,26,FINAL,460,-150.0,-2.5,-120.0,46.5,-110.0,19.95,800.0,38.93,3340.0,46.35,0.0,-225.0,-4.5,-110.0,45.5,-115.0,-230.0,-5.0,-110.0,44.5,-105.0,-232.0,-4.5,-106.0,45.0,-109.0,-232.0,-4.5,-106.0,45.0,-109.0,-227.0,-4.5,-110.0,45.0,-110.0,-215.0,-4.5,-110.0,45.0,-110.0,-220.0,-4.5,-110.0,45.5,-110.0,-200.0,-3.5,-118.0,45.5,-125.0,-215.0,-4.5,-108.0,45.0,-108.0,-147.0,-3.0,101.0,46.5,-110.0,-220.0,-4.5,-110.0,46.0,-110.0,-215.0,-4.5,-110.0,45.5,-110.0,-220.0,-4.0,-115.0,45.5,-110.0,-220.0,-4.5,-110.0,45.0,-110.0,-219.0,-4.5,-109.0,46.0,-115.0
4765681,1535,2025,1,N.Y. Giants,Sun 9/7,1:00 PM,6,FINAL,461,289.0,7.0,-110.0,46.0,-110.0,89.72,6460.0,59.12,6160.0,75.8,0.0,230.0,6.0,-110.0,45.5,-110.0,235.0,6.0,-105.0,46.0,-105.0,252.0,6.0,-106.0,46.0,-105.0,263.0,6.0,-106.0,46.0,-105.0,238.0,6.0,-102.0,45.5,-111.0,236.0,6.0,-102.0,45.5,-110.0,240.0,6.0,-105.0,45.5,-110.0,210.0,6.5,-138.0,46.5,-110.0,220.0,6.0,-108.0,46.0,-108.0,244.0,6.5,-106.0,45.5,-110.0,206.0,6.0,-110.0,45.5,-110.0,236.0,6.0,-103.0,45.5,-110.0,235.0,6.0,-110.0,45.5,-110.0,225.0,6.0,-110.0,45.5,-110.0,243.0,6.0,-102.0,45.5,-111.0
4765681,1537,2025,1,Washington,Sun 9/7,1:00 PM,21,FINAL,462,-360.0,-7.0,-110.0,46.0,-110.0,10.28,740.0,40.88,4260.0,24.2,0.0,-280.0,-6.0,-110.0,45.5,-110.0,-285.0,-6.0,-115.0,46.0,-115.0,-301.0,-6.0,-114.0,46.0,-115.0,-316.0,-6.0,-114.0,46.0,-115.0,-274.0,-6.0,-108.0,45.5,-101.0,-271.0,-6.0,-118.0,45.5,-110.0,-280.0,-6.0,-115.0,45.5,-110.0,-275.0,-6.5,100.0,46.5,-125.0,-270.0,-6.0,-108.0,46.0,-108.0,-304.0,-6.5,-114.0,45.5,-110.0,-260.0,-6.0,-110.0,45.5,-110.0,-271.0,-6.0,-117.0,45.5,-110.0,-285.0,-6.0,-110.0,45.5,-110.0,-270.0,-6.0,-110.0,45.5,-110.0,-281.0,-6.0,-108.0,45.5,-101.0
