season,week,outcome,date,time,rotation,team,score,wagers,BETONLINE_spread,BETONLINE_odds,BOVODA_spread,BOVODA_odds,BookMaker_spread,BookMaker_odds,BAS_spread,BAS_odds,Heritage_spread,Heritage_odds,everygame_spread,everygame_odds,JustBET_spread,JustBET_odds,bet105_spread,bet105_odds,WAGERWEB_spread,WAGERWEB_odds,opener_spread,opener_odds
2018,1,FINAL,Mon 9/10,7:10 PM,479,N.Y. Jets,48,47%,7.0,-103,7.0,-105,7.0,-110,,,7.0,-105,7.0,-105,7.0,-110,,,7.0,-110,6.5,-110
2018,1,FINAL,Mon 9/10,7:10 PM,480,Detroit,17,53%,-7.0,-117,-7.0,-115,-7.0,-110,,,-7.0,-105,-7.0,-115,-7.0,-110,,,-7.0,-110,-6.5,-110
2018,1,FINAL,Mon 9/10,10:20 PM,481,L.A. Rams,33,60%,-6.0,-113,-7.0,-105,-6.0,-105,,,-6.0,-105,-6.5,-105,-6.0,-105,,,-6.0,-111,,-110
2018,1,FINAL,Mon 9/10,10:20 PM,482,Oakland,13,40%,6.0,-107,7.0,-115,6.0,-115,,,6.0,-105,6.5,-115,6.0,-115,,,6.0,-109,,-110
2018,1,FINAL,Sun 9/9,1:00 PM,455,San Francisco,16,41%,6.0,-107,6.5,-110,6.5,-116,,,6.0,-105,6.0,-110,6.5,-116,,,6.0,-111,5.0,-110
2018,1,FINAL,Sun 9/9,1:00 PM,456,Minnesota,24,59%,-6.0,-113,-6.5,-110,-6.5,-104,,,-6.0,-105,-6.0,-110,-6.5,-104,,,-6.0,-109,-5.0,-110
2018,1,FINAL,Sun 9/9,1:00 PM,465,Houston,20,57%,6.5,-118,6.5,-110,6.5,-121,,,6.0,-105,6.5,-115,6.5,-121,,,6.0,-113,6.5,-110
2018,1,FINAL,Sun 9/9,1:00 PM,466,New England,27,43%,-6.5,-102,-6.5,-110,-6.5,+100,,,-6.0,-105,-6.5,-105,-6.5,+100,,,-6.0,-107,-6.5,-110
2018,1,FINAL OT,Sun 9/9,1:00 PM,453,Pittsburgh,21,54%,-3.5,-106,-3.5,-110,-3.0,-125,,,-3.5,+100,-3.5,+100,-3.0,-125,,,-3.5,-104,-6.5,-110
2018,1,FINAL OT,Sun 9/9,1:00 PM,454,Cleveland,21,46%,3.5,-114,3.5,-110,3.0,+105,,,3.5,-110,3.5,-120,3.0,+105,,,3.5,-116,6.5,-110
2018,1,FINAL,Sun 9/9,1:00 PM,457,Cincinnati,34,66%,-1.0,-105,-1.0,-110,1.0,-115,,,-1.0,-105,-1.0,-105,1.0,-115,,,-1.0,-112,1.5,-110
2018,1,FINAL,Sun 9/9,1:00 PM,458,Indianapolis,23,34%,1.0,-115,1.0,-110,-1.0,-105,,,1.0,-105,1.0,-115,-1.0,-105,,,1.0,-108,-1.5,-110
2018,1,FINAL,Sun 9/9,1:00 PM,461,Jacksonville,20,44%,-3.0,+102,-3.0,+100,-3.0,+105,,,-2.5,-110,-2.5,-115,-3.0,+105,,,-2.5,-114,-3.0,-110
2018,1,FINAL,Sun 9/9,1:00 PM,462,N.Y. Giants,15,56%,3.0,-122,3.0,-120,3.0,-125,,,2.5,+100,2.5,-105,3.0,-125,,,2.5,-106,3.0,-110
2018,1,FINAL,Sun 9/9,1:00 PM,463,Tampa Bay,48,42%,10.0,-115,10.0,-105,10.0,-111,,,10.0,-105,10.0,-110,10.0,-111,,,10.0,-113,7.0,-110
2018,1,FINAL,Sun 9/9,1:00 PM,464,New Orleans,40,58%,-10.0,-105,-10.0,-115,-10.0,-109,,,-10.0,-105,-10.0,-110,-10.0,-109,,,-10.0,-107,-7.0,-110
2018,1,FINAL,Sun 9/9,1:00 PM,459,Buffalo,3,34%,7.5,-105,8.0,-110,7.5,-110,,,7.5,-105,7.5,-110,7.5,-110,,,7.5,-105,3.0,-110
2018,1,FINAL,Sun 9/9,1:00 PM,460,Baltimore,47,66%,-7.5,-115,-8.0,-110,-7.5,-110,,,-7.5,-105,-7.5,-110,-7.5,-110,,,-7.5,-115,-3.0,-110
2018,1,FINAL,Sun 9/9,1:00 PM,467,Tennessee,20,55%,,-110,-1.0,-110,,-113,,,1.0,-105,,-110,,-113,,,1.0,-112,-1.5,-110
2018,1,FINAL,Sun 9/9,1:00 PM,468,Miami,27,45%,,-110,1.0,-110,,-108,,,-1.0,-105,,-110,,-108,,,-1.0,-108,1.5,-110
2018,1,FINAL,Sun 9/9,4:05 PM,469,Kansas City,38,44%,3.0,+105,3.0,+115,3.0,+105,,,3.0,+120,3.5,-115,3.5,-115,,,3.0,+112,3.0,-115
2018,1,FINAL,Sun 9/9,4:05 PM,470,L.A. Chargers,28,56%,-3.0,-125,-3.0,-135,-3.0,-125,,,-3.0,-130,-3.5,-105,-3.5,-105,,,-3.0,-132,-3.0,-105
2018,1,FINAL,Sun 9/9,4:25 PM,473,Dallas,8,39%,3.0,-113,3.0,+100,3.0,-110,,,2.5,+115,3.0,-110,3.0,-110,,,2.5,+113,2.5,-110
2018,1,FINAL,Sun 9/9,4:25 PM,474,Carolina,16,61%,-3.0,-107,-3.0,-120,-3.0,-110,,,-2.5,-125,-3.0,-110,-3.0,-110,,,-2.5,-133,-2.5,-110
2018,1,FINAL,Sun 9/9,4:25 PM,471,Seattle,24,41%,3.0,+105,3.0,+110,3.0,+101,,,3.0,+120,3.0,+105,3.0,+101,,,3.0,+106,1.0,-110
2018,1,FINAL,Sun 9/9,4:25 PM,472,Denver,27,59%,-3.0,-125,-3.0,-130,-3.0,-120,,,-3.0,-130,-3.0,-125,-3.0,-120,,,-3.0,-126,-1.0,-110
