eid,season,week,date,time,team,rotation,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,perc,opening_adj,opening_ap
3452672,2018,1,Mon 9/10,7:10 PM,N.Y. Jets,479,48,FINAL,1523.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-103.0,-105.0,-110.0,-110.0,103.0,-110.0,-105.0,-110.0,-105.0,-110.0,100.0,-110.0,47.33,6.5,-110.0
3452672,2018,1,,,Detroit,480,17,,1539.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-117.0,-115.0,-110.0,-110.0,-114.0,-110.0,-115.0,-110.0,-105.0,-110.0,-120.0,-110.0,52.67,-6.5,-110.0
3452673,2018,1,Mon 9/10,10:20 PM,L.A. Rams,481,33,FINAL,1550.0,-6.0,-7.0,-6.0,-6.0,-6.0,-6.0,-6.5,-6.0,-6.0,-6.0,-6.5,-6.5,-113.0,-105.0,-105.0,-105.0,-104.0,-110.0,-105.0,-110.0,-105.0,-111.0,-120.0,-120.0,60.32,0.0,-110.0
3452673,2018,1,,,Oakland,482,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3452656,2018,1,Sun 9/9,1:00 PM,San Francisco,455,16,FINAL,1547.0,6.0,6.5,6.5,6.5,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,-107.0,-110.0,-116.0,-116.0,-102.0,-110.0,-110.0,-110.0,-105.0,-111.0,-115.0,-120.0,41.25,5.0,-110.0
3452656,2018,1,,,Minnesota,456,24,,1541.0,-6.0,-6.5,-6.5,-6.5,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.5,-6.5,-113.0,-110.0,-104.0,-104.0,-108.0,-110.0,-110.0,-110.0,-105.0,-109.0,-105.0,100.0,58.75,-5.0,-110.0
3452658,2018,1,Sun 9/9,1:00 PM,Houston,465,20,FINAL,1530.0,6.5,6.5,6.5,6.5,6.0,6.0,6.5,6.5,6.0,6.0,6.0,6.0,-118.0,-110.0,-121.0,-121.0,-105.0,-110.0,-115.0,-116.0,-105.0,-113.0,-110.0,100.0,56.7,6.5,-110.0
3452658,2018,1,,,New England,466,27,,1525.0,-6.5,-6.5,-6.5,-6.5,-6.0,-6.0,-6.5,-6.5,-6.0,-6.0,-6.0,-6.0,-102.0,-110.0,100.0,100.0,-105.0,-110.0,-105.0,-105.0,-105.0,-107.0,-110.0,-120.0,43.3,-6.5,-110.0
3452660,2018,1,Sun 9/9,1:00 PM,Pittsburgh,453,21,FINAL OT,1519.0,-3.5,-3.5,-3.0,-3.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-3.0,-106.0,-110.0,-125.0,-125.0,105.0,100.0,100.0,100.0,100.0,-104.0,-110.0,-120.0,54.07,-6.5,-110.0
3452660,2018,1,,,Cleveland,454,21,,1520.0,3.5,3.5,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,3.0,-114.0,-110.0,105.0,105.0,-116.0,-120.0,-120.0,-120.0,-110.0,-116.0,-110.0,100.0,45.93,6.5,-110.0
