eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,perc,opening_adj,opening_ap
3452764,475,2018,7,Mon 10/22,8:15 PM,N.Y. Giants,20,FINAL,1535,4.0,5.0,4.0,4.0,4.5,4.0,4.5,4.0,4.0,4.0,5.5,4.0,100.0,-110.0,-105.0,-105.0,-110.0,100.0,-110.0,-110.0,-105.0,-106.0,-105.0,100.0,41.27,4.0,-110
3452764,476,2018,7,,,Atlanta,23,,1546,-4.0,-5.0,-4.0,-4.0,-4.5,-4.0,-4.5,-4.0,-4.0,-4.0,-5.5,-4.0,-120.0,-110.0,-115.0,-115.0,-101.0,-120.0,-110.0,-110.0,-105.0,-114.0,-115.0,-120.0,58.73,-4.0,-110
3452752,451,2018,7,Sun 10/21,9:30 AM,Tennessee,19,FINAL,1528,6.5,7.0,7.0,7.0,6.5,6.5,6.5,6.5,6.5,6.5,7.0,6.5,-106.0,-120.0,-120.0,-120.0,-103.0,-110.0,-105.0,-110.0,-105.0,-108.0,-115.0,-115.0,38.53,6.5,-110
3452752,452,2018,7,,,L.A. Chargers,20,,75380,-6.5,-7.0,-7.0,-7.0,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-7.0,-6.5,-114.0,100.0,100.0,100.0,-108.0,-110.0,-115.0,-110.0,-105.0,-112.0,-105.0,-105.0,61.47,-6.5,-110
3452754,465,2018,7,Sun 10/21,1:00 PM,Minnesota,37,FINAL,1541,-3.5,-4.0,-3.0,-3.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-4.5,-3.5,-108.0,100.0,-125.0,-125.0,106.0,-105.0,-105.0,-105.0,100.0,-107.0,-115.0,100.0,61.2,-3.0,-110
3452754,466,2018,7,,,N.Y. Jets,17,,1523,3.5,4.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.5,3.5,-112.0,-120.0,105.0,105.0,-119.0,-115.0,-115.0,-116.0,-110.0,-113.0,-105.0,-120.0,38.8,3.0,-110
3452755,455,2018,7,Sun 10/21,1:00 PM,Cleveland,23,FINAL OT,1520,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,-106.0,-105.0,-109.0,-109.0,-105.0,-105.0,-110.0,-110.0,-105.0,-110.0,-110.0,-108.0,48.28,3.0,-115
3452755,456,2018,7,,,Tampa Bay,26,,1544,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-114.0,-115.0,-111.0,-111.0,-105.0,-115.0,-110.0,-110.0,-105.0,-110.0,-110.0,-112.0,51.72,-3.0,-105
3452756,457,2018,7,Sun 10/21,1:00 PM,Detroit,32,FINAL,1539,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-120.0,-125.0,-129.0,-129.0,-124.0,-120.0,-120.0,-116.0,-110.0,-118.0,-120.0,-120.0,49.21,-3.0,-105
3452756,458,2018,7,,,Miami,21,,1524,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,100.0,105.0,109.0,109.0,110.0,100.0,100.0,-105.0,100.0,-102.0,100.0,100.0,50.79,3.0,-115
3452757,467,2018,7,Sun 10/21,1:00 PM,Houston,20,FINAL,1530,3.5,4.0,3.5,3.5,4.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,-110.0,-105.0,-110.0,-110.0,-101.0,-105.0,-110.0,-110.0,-105.0,-105.0,-105.0,-120.0,37.63,4.5,-110
3452757,468,2018,7,,,Jacksonville,7,,1529,-3.5,-4.0,-3.5,-3.5,-4.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-110.0,-115.0,-110.0,-110.0,-110.0,-115.0,-110.0,-110.0,-105.0,-115.0,-115.0,100.0,62.37,-4.5,-110
