eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_10,ap_10,adj_16,ap_16,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84
4143583,481,2020,16,Mon 12/28,8:15 PM,Buffalo,38,FINAL,0.0,-4.5,-110.0,-7.0,-116.0,-7.0,-110.0,-6.5,-107.0,-6.5,-107.0,-7.0,-102.0,-7.0,-110.0,-7.0,-115.0,-7.5,-105.0,-7.0,-108.0,-7.0,-113.0,-7.5,-115.0,-7.0,-110.0
4143583,482,2020,16,,,New England,9,,0.0,4.5,-110.0,7.0,-104.0,7.0,-110.0,6.5,-111.0,6.5,-111.0,7.0,-108.0,7.0,-110.0,7.0,-105.0,7.5,-115.0,7.0,-108.0,7.0,-107.0,7.5,-105.0,7.0,-110.0
4143431,467,2020,16,Sun 12/27,1:00 PM,Chicago,41,FINAL,0.0,-4.5,-110.0,-9.5,-120.0,-9.5,-110.0,-13.0,-115.0,-13.0,-115.0,-9.5,-108.0,-9.5,-112.0,-9.5,-110.0,-9.5,-110.0,-9.5,-108.0,-9.5,-111.0,-9.5,-110.0,-9.5,-112.0
4143431,468,2020,16,,,Jacksonville,17,,0.0,4.5,-110.0,9.5,100.0,9.5,-110.0,13.0,-115.0,13.0,-115.0,9.5,-103.0,9.5,-108.0,9.5,-110.0,9.5,-110.0,9.5,-108.0,9.5,-109.0,9.5,-110.0,9.5,-108.0
4143432,465,2020,16,Sun 12/27,1:00 PM,Indianapolis,24,FINAL,0.0,3.0,-120.0,0.0,-109.0,-1.0,-105.0,2.5,-103.0,2.5,-103.0,-1.0,100.0,-1.0,-105.0,-1.0,-105.0,0.0,-110.0,0.0,-108.0,0.0,-113.0,0.0,-110.0,-1.0,-105.0
4143432,466,2020,16,,,Pittsburgh,28,,0.0,-3.0,100.0,0.0,-111.0,1.0,-115.0,-2.5,-116.0,-2.5,-116.0,1.0,-111.0,1.0,-115.0,1.0,-115.0,0.0,-110.0,0.0,-108.0,0.0,-107.0,0.0,-110.0,1.0,-115.0
4143582,471,2020,16,Sun 12/27,1:00 PM,N.Y. Giants,13,FINAL,0.0,10.0,-110.0,10.0,-112.0,9.5,-105.0,10.0,-117.0,10.0,-117.0,10.0,-116.0,10.0,-125.0,10.0,-120.0,10.0,-115.0,9.0,-108.0,9.0,-109.0,10.0,-115.0,10.0,-125.0
4143582,472,2020,16,,,Baltimore,27,,0.0,-10.0,-110.0,-10.0,-108.0,-9.5,-115.0,-10.0,-112.0,-10.0,-112.0,-10.0,105.0,-10.0,105.0,-10.0,100.0,-10.0,-105.0,-9.0,-108.0,-9.0,-111.0,-10.0,-105.0,-10.0,105.0
4143588,473,2020,16,Sun 12/27,1:00 PM,Atlanta,14,FINAL,0.0,11.5,-110.0,10.5,-103.0,11.0,-110.0,10.0,-117.0,10.0,-117.0,11.0,-110.0,11.0,-115.0,11.0,-105.0,11.0,-110.0,11.0,-108.0,11.0,-111.0,11.5,-110.0,11.0,-115.0
4143588,474,2020,16,,,Kansas City,17,,0.0,-11.5,-110.0,-10.5,-117.0,-11.0,-110.0,-10.0,-112.0,-10.0,-112.0,-11.0,-100.0,-11.0,-105.0,-11.0,-115.0,-11.0,-110.0,-11.0,-108.0,-11.0,-109.0,-11.5,-110.0,-11.0,-105.0
