eid,rotation,season,week,date,time,team,score,outcome,partid,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407014,481,2021,1,Mon 9/13,8:15 PM,Baltimore,27,FINAL OT,1521,-3.0,-3.0,-3.0,-3.0,-3.5,-3.0,-3.0,-3.5,-3.0,-6.5,-115.0,-116.0,-115.0,-115.0,-105.0,-113.0,-117.0,-110.0,-115.0,-110.0,57.69,-6.5,-110
4407014,482,2021,1,,,Las Vegas,33,,1533,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.5,3.0,6.5,-105.0,105.0,-105.0,-105.0,-115.0,-103.0,-103.0,-110.0,-105.0,-110.0,42.31,6.5,-110
4407006,459,2021,1,Sun 9/12,1:00 PM,Arizona,38,FINAL,1549,3.0,2.5,3.0,2.5,2.5,2.5,2.5,3.0,3.0,-12.0,-120.0,105.0,-120.0,-105.0,100.0,102.0,100.0,-110.0,-120.0,-109.0,0.0,1.5,-110
4407006,460,2021,1,,,Tennessee,13,,1528,-3.0,-2.5,-3.0,-2.5,-2.5,-2.5,-2.5,-3.0,-3.0,12.0,100.0,-116.0,100.0,-115.0,-120.0,-118.0,-120.0,-110.0,100.0,-111.0,100.0,-1.5,-110
4407009,457,2021,1,Sun 9/12,1:00 PM,Jacksonville,21,FINAL,1529,-3.5,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-3.5,-3.5,22.5,-105.0,103.0,-105.0,-105.0,-120.0,-123.0,-123.0,-110.0,-105.0,-138.0,100.0,-1.5,-110
4407009,458,2021,1,,,Houston,37,,1530,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.5,3.5,-22.5,-115.0,-113.0,-115.0,-115.0,100.0,107.0,103.0,-110.0,-115.0,118.0,0.0,1.5,-110
4407010,467,2021,1,Sun 9/12,1:00 PM,Minnesota,24,FINAL OT,1541,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,2.5,-115.0,109.0,-110.0,-105.0,-110.0,-103.0,-105.0,-110.0,-110.0,156.0,66.67,-2.5,-120
4407010,468,2021,1,,,Cincinnati,27,,1522,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.5,-105.0,-120.0,-110.0,-115.0,-110.0,-113.0,-115.0,-110.0,-110.0,-178.0,33.33,2.5,100
4407011,465,2021,1,Sun 9/12,1:00 PM,Seattle,28,FINAL,1548,-3.0,-3.0,-2.5,-3.0,-3.0,-3.0,-3.0,-3.0,-2.5,-10.5,100.0,106.0,-120.0,100.0,100.0,102.0,-102.0,-110.0,-120.0,100.0,25.82,2.5,100
4407011,466,2021,1,,,Indianapolis,16,,1527,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,2.5,10.5,-120.0,-117.0,100.0,-120.0,-120.0,-118.0,-118.0,-110.0,100.0,-120.0,74.18,-2.5,-120
4407013,453,2021,1,Sun 9/12,1:00 PM,Pittsburgh,23,FINAL,1519,6.5,6.5,6.0,6.5,6.5,6.5,6.5,6.5,6.0,-6.5,-115.0,-110.0,-105.0,-110.0,-110.0,-108.0,-113.0,-115.0,-105.0,-150.0,85.71,6.0,-110
4407013,454,2021,1,,,Buffalo,16,,1526,-6.5,-6.5,-6.0,-6.5,-6.5,-6.5,-6.5,-6.5,-6.0,6.5,-105.0,-100.0,-115.0,-110.0,-110.0,-108.0,-107.0,-105.0,-115.0,130.0,14.29,-6.0,-110
4407016,469,2021,1,Sun 9/12,1:00 PM,San Francisco,41,FINAL,1547,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-24.0,-115.0,-105.0,-105.0,-110.0,-110.0,-108.0,-109.0,-110.0,-110.0,188.0,33.33,-8.0,-110
4407016,470,2021,1,,,Detroit,33,,1539,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,24.0,-105.0,-105.0,-115.0,-110.0,-110.0,-108.0,-111.0,-110.0,-110.0,-233.0,66.67,8.0,-110
4407017,461,2021,1,Sun 9/12,1:00 PM,L.A. Chargers,20,FINAL,75380,2.5,2.5,2.0,2.5,2.0,2.0,2.0,2.0,2.0,-3.5,-110.0,-109.0,-110.0,-115.0,-110.0,-108.0,-111.0,-105.0,-110.0,-170.0,50.0,-1.5,-110
4407017,462,2021,1,,,Washington,16,,1537,-2.5,-2.5,-2.0,-2.5,-2.0,-2.0,-2.0,-2.0,-2.0,3.5,-110.0,-101.0,-110.0,-105.0,-110.0,-108.0,-109.0,-115.0,-110.0,150.0,50.0,1.5,-110
4407018,455,2021,1,Sun 9/12,1:00 PM,N.Y. Jets,14,FINAL,1523,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,10.5,-110.0,-108.0,-115.0,-115.0,-115.0,-108.0,-113.0,-115.0,-110.0,-136.0,100.0,3.5,-110
4407018,456,2021,1,,,Carolina,19,,1545,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-10.5,-110.0,-102.0,-105.0,-105.0,-105.0,-108.0,-107.0,-105.0,-110.0,116.0,0.0,-3.5,-110
4407021,463,2021,1,Sun 9/12,1:00 PM,Philadelphia,32,FINAL,1536,3.5,3.5,3.0,3.5,3.5,3.5,3.5,3.5,3.0,-15.5,-125.0,-109.0,100.0,-115.0,-115.0,-118.0,-116.0,-115.0,100.0,124.0,0.0,3.5,-110
4407021,464,2021,1,,,Atlanta,6,,1546,-3.5,-3.5,-3.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.0,15.5,105.0,-101.0,-120.0,-105.0,-105.0,102.0,-104.0,-105.0,-120.0,-144.0,100.0,-3.5,-110
4407007,471,2021,1,Sun 9/12,4:25 PM,Cleveland,29,FINAL,1520,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,0.0,-105.0,-101.0,-110.0,-110.0,-110.0,-108.0,-109.0,-110.0,-110.0,-125.0,48.28,5.5,-110
4407007,472,2021,1,,,Kansas City,33,,1531,-5.5,-5.5,-5.5,-5.5,-5.0,-5.5,-5.5,-5.5,-5.5,0.0,-115.0,-110.0,-110.0,-110.0,-110.0,-108.0,-111.0,-110.0,-110.0,105.0,51.72,-5.5,-110
4407012,483,2021,1,Sun 9/12,4:25 PM,Green Bay,3,FINAL,1542,-4.0,-4.0,-3.5,-3.5,-3.5,-3.5,-3.5,-4.0,-3.5,25.5,-120.0,103.0,-115.0,-115.0,-110.0,-108.0,-111.0,-105.0,-115.0,-110.0,44.44,3.0,-110
4407012,484,2021,1,,,New Orleans,38,,1543,4.0,4.0,3.5,3.5,3.5,3.5,3.5,4.0,3.5,-25.5,100.0,-114.0,-105.0,-105.0,-110.0,-108.0,-109.0,-115.0,-105.0,-110.0,55.56,-3.0,-110
4407015,475,2021,1,Sun 9/12,4:25 PM,Denver,27,FINAL,1534,-3.0,-3.0,-2.5,-2.5,-3.0,-2.5,-2.5,-3.0,-2.5,-7.5,-105.0,109.0,-115.0,-120.0,100.0,-118.0,-119.0,100.0,-115.0,-103.0,55.56,0.0,-110
4407015,476,2021,1,,,N.Y. Giants,13,,1535,3.0,3.0,2.5,2.5,3.0,2.5,2.5,3.0,2.5,7.5,-115.0,-120.0,-105.0,100.0,-120.0,102.0,-101.0,-120.0,-105.0,-117.0,44.44,0.0,-110
4407020,473,2021,1,Sun 9/12,4:25 PM,Miami,17,FINAL,1524,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,-3.5,-105.0,-113.0,-115.0,-110.0,-110.0,-118.0,-114.0,-115.0,-115.0,157.0,58.33,1.5,-110
4407020,474,2021,1,,,New England,16,,1525,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,3.5,-115.0,102.0,-105.0,-110.0,-110.0,102.0,-106.0,-105.0,-105.0,-177.0,41.67,-1.5,-110
4407019,479,2021,1,Sun 9/12,8:20 PM,Chicago,14,FINAL,1540,9.0,9.5,9.5,9.5,9.5,9.0,9.0,10.0,9.5,13.5,-105.0,-108.0,-110.0,-110.0,-110.0,-108.0,-109.0,-120.0,-110.0,227.0,48.15,7.0,-115
4407019,480,2021,1,,,L.A. Rams,34,,1550,-9.0,-9.5,-9.5,-9.5,-9.5,-9.0,-9.0,-10.0,-9.5,-13.5,-115.0,-102.0,-110.0,-110.0,-110.0,-108.0,-111.0,100.0,-110.0,-277.0,51.85,-7.0,-105
4407005,451,2021,1,Thu 9/9,8:20 PM,Dallas,29,FINAL,1538,9.0,10.0,9.5,9.5,9.0,9.0,9.0,9.5,9.5,7.0,-110.0,-121.0,-115.0,-115.0,-110.0,-108.0,-106.0,-110.0,-115.0,-110.0,83.33,6.0,-110
4407005,452,2021,1,,,Tampa Bay,31,,1544,-9.0,-10.0,-9.5,-9.5,-9.0,-9.0,-9.0,-9.5,-9.5,-7.0,-110.0,110.0,-105.0,-105.0,-110.0,-108.0,-114.0,-110.0,-105.0,-110.0,16.67,-6.0,-110
