eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_9,ap_9,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84,adj_123,ap_123
4407299,000,2021,6,Mon 10/18,8:15 PM,Buffalo,31,FINAL,63.33,,,-6.5,-110.0,-6.0,101.0,-6.0,-110.0,-6.0,-115.0,-6.0,-110.0,-6.0,-108.0,-6.0,-111.0,-7.0,115.0,-6.0,-110.0,-7.0,115.0
4407299,000,2021,6,,,Tennessee,34,,36.67,,,6.5,-110.0,6.0,-112.0,6.0,-110.0,6.0,-105.0,6.0,-110.0,6.0,-108.0,6.0,-109.0,7.0,-135.0,6.0,-110.0,7.0,-135.0
4407042,251,2021,6,Sun 10/17,9:30 AM,Miami,20,FINAL,60.0,,,-1.5,-115.0,,,-2.0,-110.0,-1.5,-115.0,-3.0,-105.0,,,-1.5,-111.0,-1.5,-110.0,-1.0,-110.0,0.0,-123.0
4407042,252,2021,6,,,Jacksonville,23,,40.0,,,1.5,-105.0,,,2.0,-110.0,1.5,-105.0,3.0,-115.0,,,1.5,-109.0,1.5,-110.0,1.0,-110.0,0.0,103.0
4407290,263,2021,6,Sun 10/17,1:00 PM,Cincinnati,34,FINAL,66.67,,,-3.5,-110.0,,,-3.5,-110.0,-3.5,-110.0,-3.5,-110.0,,,-3.5,-115.0,-3.5,-110.0,-3.5,-110.0,-3.5,-105.0
4407290,264,2021,6,,,Detroit,11,,33.33,,,3.5,-110.0,,,3.5,-110.0,3.5,-110.0,3.5,-110.0,,,3.5,-105.0,3.5,-110.0,3.5,-110.0,3.5,-115.0
4407291,257,2021,6,Sun 10/17,1:00 PM,Kansas City,31,FINAL,7.69,,,-7.0,-105.0,,,-6.5,-110.0,-6.5,-110.0,-6.5,-110.0,,,-6.5,-106.0,-7.0,-105.0,-6.5,-110.0,-6.5,-110.0
4407291,258,2021,6,,,Washington,13,,92.31,,,7.0,-115.0,,,6.5,-110.0,6.5,-110.0,6.5,-110.0,,,6.5,-114.0,7.0,-115.0,6.5,-110.0,6.5,-110.0
4407293,259,2021,6,Sun 10/17,1:00 PM,Minnesota,34,FINAL OT,42.86,,,-2.5,-110.0,,,-2.5,-110.0,-2.5,-110.0,-2.0,-110.0,,,-2.5,-109.0,-2.5,-110.0,-2.5,-110.0,-1.0,-125.0
4407293,260,2021,6,,,Carolina,28,,57.14,,,2.5,-110.0,,,2.5,-110.0,2.5,-110.0,2.0,-110.0,,,2.5,-111.0,2.5,-110.0,2.5,-110.0,1.0,105.0
4407294,253,2021,6,Sun 10/17,1:00 PM,Houston,3,FINAL,60.26,,,11.5,-110.0,,,12.0,-110.0,11.5,-110.0,11.5,-110.0,,,11.0,-109.0,11.5,-110.0,12.0,-110.0,10.0,-110.0
4407294,254,2021,6,,,Indianapolis,31,,39.74,,,-11.5,-110.0,,,-12.0,-110.0,-11.5,-110.0,-11.5,-110.0,,,-11.0,-111.0,-11.5,-110.0,-12.0,-110.0,-10.0,-110.0
4407295,265,2021,6,Sun 10/17,1:00 PM,L.A. Rams,38,FINAL,12.5,,,-7.5,-110.0,,,-7.5,-110.0,-7.5,-105.0,-7.5,-105.0,,,-7.0,-117.0,-7.5,-110.0,-7.5,-110.0,-7.0,-125.0
4407295,266,2021,6,,,N.Y. Giants,11,,87.5,,,7.5,-110.0,,,7.5,-110.0,7.5,-115.0,7.5,-115.0,,,7.0,-103.0,7.5,-110.0,7.5,-110.0,7.0,105.0
4407297,261,2021,6,Sun 10/17,1:00 PM,L.A. Chargers,6,FINAL,29.81,,,3.0,-115.0,,,3.0,-110.0,3.0,-110.0,3.0,-115.0,,,3.0,-110.0,3.0,-110.0,3.0,-110.0,3.0,-110.0
4407297,262,2021,6,,,Baltimore,34,,70.19,,,-3.0,-105.0,,,-3.0,-110.0,-3.0,-110.0,-3.0,-105.0,,,-3.0,-110.0,-3.0,-110.0,-3.0,-110.0,-3.0,-110.0
4407300,255,2021,6,Sun 10/17,1:00 PM,Green Bay,24,FINAL,64.71,,,-6.0,-105.0,,,-5.5,-110.0,-5.5,-110.0,-5.5,-110.0,,,-5.5,-112.0,-6.0,-110.0,-5.5,-110.0,-5.5,-110.0
4407300,256,2021,6,,,Chicago,14,,35.29,,,6.0,-115.0,,,5.5,-110.0,5.5,-110.0,5.5,-110.0,,,5.5,-108.0,6.0,-110.0,5.5,-110.0,5.5,-110.0
4407302,267,2021,6,Sun 10/17,4:05 PM,Arizona,37,FINAL,50.0,,,3.0,-125.0,,,3.0,-120.0,3.0,-120.0,3.0,-115.0,,,3.0,-118.0,3.0,-120.0,3.0,-120.0,3.0,-120.0
4407302,268,2021,6,,,Cleveland,14,,50.0,,,-3.0,105.0,,,-3.0,100.0,-3.0,100.0,-3.0,-105.0,,,-3.0,-102.0,-3.0,100.0,-3.0,100.0,-3.0,100.0
4407292,269,2021,6,Sun 10/17,4:25 PM,Las Vegas,34,FINAL,,,,,,,,,,,,,,,,,,,,,,,
4407292,270,2021,6,,,Denver,24,,61.54,,,-5.0,-110.0,,,-5.0,-105.0,-5.0,-110.0,-5.0,-110.0,,,-5.0,-108.0,-5.0,-110.0,-5.0,-105.0,-5.0,-110.0
4407296,271,2021,6,Sun 10/17,4:25 PM,Dallas,35,FINAL OT,20.0,,,-4.0,-110.0,,,-3.5,-110.0,-4.0,-110.0,-3.5,-110.0,,,-3.5,-110.0,-3.5,-110.0,-3.5,-110.0,-3.5,-110.0
4407296,272,2021,6,,,New England,29,,80.0,,,4.0,-110.0,,,3.5,-110.0,4.0,-110.0,3.5,-110.0,,,3.5,-110.0,3.5,-110.0,3.5,-110.0,3.5,-110.0
4407301,273,2021,6,Sun 10/17,8:20 PM,Seattle,20,FINAL OT,75.0,,,6.0,-115.0,,,5.5,-110.0,5.5,-105.0,5.5,-110.0,,,5.5,-111.0,5.5,-110.0,5.5,-110.0,5.5,-110.0
4407301,274,2021,6,,,Pittsburgh,23,,25.0,,,-6.0,-105.0,,,-5.5,-110.0,-5.5,-115.0,-5.5,-110.0,,,-5.5,-109.0,-5.5,-110.0,-5.5,-110.0,-5.5,-110.0
