eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,ap_8,ap_9,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,perc,opening_adj,opening_ap
4407370,477,2021,11,Mon 11/22,8:15 PM,N.Y. Giants,10,FINAL,1535,10.5,11.0,10.5,10.5,10.5,11.0,10.5,10.5,10.5,10.5,10.5,-107.0,-115.0,-114.0,-116.0,-110.0,-110.0,-108.0,-112.0,-110.0,-116.0,-110.0,65.22,12.5,-110
4407370,478,2021,11,,,Tampa Bay,30,,1544,-10.5,-11.0,-10.5,-10.5,-10.5,-11.0,-10.5,-10.5,-10.5,-10.5,-10.5,-113.0,-105.0,102.0,-104.0,-110.0,-110.0,-108.0,-108.0,-110.0,-104.0,-110.0,34.78,-12.5,-110
4407360,465,2021,11,Sun 11/21,1:00 PM,Houston,22,FINAL,1530,10.5,10.0,10.5,10.5,10.5,10.0,10.0,10.0,10.0,10.5,10.0,-115.0,-110.0,-120.0,-124.0,-120.0,-110.0,-108.0,-114.0,-110.0,-124.0,-110.0,80.0,10.0,-110
4407360,466,2021,11,,,Tennessee,13,,1528,-10.5,-10.0,-10.5,-10.5,-10.5,-10.0,-10.0,-10.0,-10.0,-10.5,-10.0,-105.0,-110.0,108.0,104.0,100.0,-110.0,-108.0,-106.0,-110.0,104.0,-110.0,20.0,-10.0,-110
4407362,461,2021,11,Sun 11/21,1:00 PM,Baltimore,16,FINAL,1521,-1.0,-1.0,-1.0,-1.0,-1.5,-1.0,-1.5,-1.5,-1.0,-1.0,-1.0,-113.0,-115.0,-115.0,-110.0,-110.0,-110.0,-108.0,-108.0,-115.0,-110.0,-115.0,33.33,-6.0,-110
4407362,462,2021,11,,,Chicago,13,,1540,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,1.0,-107.0,-105.0,104.0,-110.0,-110.0,-110.0,-108.0,-112.0,-105.0,-110.0,-105.0,66.67,6.0,-110
4407365,457,2021,11,Sun 11/21,1:00 PM,Miami,24,FINAL,1524,-3.5,-4.0,-3.5,-3.5,-3.5,-4.0,-3.5,-3.5,-4.0,-3.5,-4.0,-110.0,-110.0,-110.0,-114.0,-110.0,-110.0,-108.0,-113.0,-110.0,-114.0,-110.0,50.0,-2.5,-110
4407365,458,2021,11,,,N.Y. Jets,17,,1523,3.5,4.0,3.5,3.5,3.5,4.0,3.5,3.5,4.0,3.5,4.0,-110.0,-110.0,-101.0,-106.0,-110.0,-110.0,-108.0,-107.0,-110.0,-106.0,-110.0,50.0,2.5,-110
4407366,463,2021,11,Sun 11/21,1:00 PM,New Orleans,29,FINAL,1543,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-117.0,-115.0,-105.0,-110.0,-110.0,-110.0,-108.0,-112.0,-110.0,-110.0,-110.0,33.33,0.0,-110
4407366,464,2021,11,,,Philadelphia,40,,1536,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-103.0,-105.0,-105.0,-110.0,-110.0,-110.0,-108.0,-108.0,-110.0,-110.0,-110.0,66.67,0.0,-110
4407367,455,2021,11,Sun 11/21,1:00 PM,Indianapolis,41,FINAL,1527,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-115.0,-115.0,-110.0,-115.0,-120.0,-115.0,-113.0,-117.0,-115.0,-115.0,-115.0,25.0,7.0,-125
4407367,456,2021,11,,,Buffalo,15,,1526,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-105.0,-105.0,-101.0,-105.0,100.0,-105.0,-103.0,-103.0,-105.0,-105.0,-105.0,75.0,-7.0,105
4407368,451,2021,11,Sun 11/21,1:00 PM,Detroit,10,FINAL,1539,13.5,13.5,14.0,14.0,13.5,13.5,14.0,14.0,14.0,14.0,13.5,-114.0,-110.0,102.0,-106.0,-110.0,-110.0,-108.0,-109.0,-110.0,-104.0,-110.0,66.67,10.0,-110
4407368,452,2021,11,,,Cleveland,13,,1520,-13.5,-13.5,-14.0,-14.0,-13.5,-13.5,-14.0,-14.0,-14.0,-14.0,-13.5,-106.0,-110.0,-113.0,-114.0,-110.0,-110.0,-108.0,-111.0,-110.0,-116.0,-110.0,33.33,-10.0,-110
