eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84,adj_123,ap_123
4407377,273,2021,12,Mon 11/29,8:15 PM,Seattle,15,FINAL,66.67,-3.5,-110,-2.0,-110.0,-2.0,-110.0,-1.5,104.0,-1.5,-111.0,-1.5,-110.0,-1.5,-110.0,-1.0,-108.0,-1.0,-110.0,-2.0,-110.0,-1.5,-111.0,-1.0,-110.0
4407377,274,2021,12,,,Washington,17,,33.33,3.5,-110,2.0,-110.0,2.0,-110.0,1.5,-115.0,1.5,-109.0,1.5,-110.0,1.5,-110.0,1.0,-108.0,1.0,-110.0,2.0,-110.0,1.5,-109.0,1.0,-110.0
4407374,259,2021,12,Sun 11/28,1:00 PM,Atlanta,21,FINAL,25.0,0.0,-110,-1.5,-105.0,-1.5,-110.0,-1.0,-108.0,-1.0,-113.0,-1.0,-110.0,-1.5,-110.0,-1.5,-108.0,-1.0,-112.0,-2.0,-110.0,-1.0,-113.0,-1.0,-120.0
4407374,260,2021,12,,,Jacksonville,14,,75.0,0.0,-110,1.5,-115.0,1.5,-110.0,1.0,-102.0,1.0,-107.0,1.0,-110.0,1.5,-110.0,1.5,-108.0,1.0,-108.0,2.0,-110.0,1.0,-107.0,1.0,100.0
4407378,253,2021,12,Sun 11/28,1:00 PM,N.Y. Jets,21,FINAL,100.0,3.0,-115,2.5,-105.0,3.0,-120.0,2.5,-102.0,2.5,-106.0,3.0,-120.0,2.5,-105.0,3.0,-128.0,3.0,-126.0,3.0,-115.0,2.5,-106.0,1.0,110.0
4407378,254,2021,12,,,Houston,14,,0.0,-3.0,-105,-2.5,-115.0,-3.0,100.0,-2.5,-110.0,-2.5,-114.0,-3.0,100.0,-2.5,-115.0,-3.0,112.0,-3.0,106.0,-3.0,-105.0,-2.5,-114.0,-1.0,-130.0
4407379,251,2021,12,Sun 11/28,1:00 PM,Tennessee,13,FINAL,42.86,2.5,-110,7.0,-104.0,7.0,-105.0,7.5,-119.0,7.0,-105.0,7.5,-120.0,7.0,100.0,7.0,-103.0,7.0,-104.0,7.0,100.0,7.0,-105.0,7.0,-110.0
4407379,252,2021,12,,,New England,36,,57.14,-2.5,-110,-7.0,-116.0,-7.0,-115.0,-7.5,107.0,-7.0,-115.0,-7.5,100.0,-7.0,-120.0,-7.0,-113.0,-7.0,-116.0,-7.0,-120.0,-7.0,-115.0,-7.0,-110.0
4407380,255,2021,12,Sun 11/28,1:00 PM,Philadelphia,7,FINAL,25.0,-3.0,-110,-4.0,-110.0,-4.0,-110.0,-4.0,102.0,-4.0,-105.0,-4.0,-110.0,-4.0,-110.0,-4.0,-108.0,-3.5,-113.0,-4.0,-115.0,-4.0,-101.0,-3.5,-110.0
4407380,256,2021,12,,,N.Y. Giants,13,,75.0,3.0,-110,4.0,-110.0,4.0,-110.0,4.0,-113.0,4.0,-115.0,4.0,-110.0,4.0,-110.0,4.0,-108.0,3.5,-107.0,4.0,-105.0,4.0,-119.0,3.5,-110.0
4407381,263,2021,12,Sun 11/28,1:00 PM,Pittsburgh,10,FINAL,80.0,4.0,-110,3.5,-115.0,3.5,-115.0,3.5,-110.0,3.5,-114.0,3.5,-110.0,3.5,-115.0,3.5,-108.0,3.5,-113.0,3.5,-115.0,3.5,-114.0,3.5,-110.0
4407381,264,2021,12,,,Cincinnati,41,,20.0,-4.0,-110,-3.5,-105.0,-3.5,-105.0,-3.5,-101.0,-3.5,-106.0,-3.5,-110.0,-3.5,-105.0,-3.5,-108.0,-3.5,-107.0,-3.5,-105.0,-3.5,-106.0,-3.5,-110.0
4407384,257,2021,12,Sun 11/28,1:00 PM,Tampa Bay,38,FINAL,27.78,-3.0,-110,-3.0,-103.0,-3.0,-105.0,-3.0,103.0,-3.0,-102.0,-3.0,100.0,-3.0,-105.0,-3.0,102.0,-3.0,-102.0,-3.0,-105.0,-3.0,-101.0,-3.0,-115.0
4407384,258,2021,12,,,Indianapolis,31,,72.22,3.0,-110,3.0,-117.0,3.0,-115.0,3.0,-115.0,3.0,-118.0,3.0,-120.0,3.0,-115.0,3.0,-118.0,3.0,-118.0,3.0,-115.0,3.0,-119.0,3.0,-105.0
4407387,261,2021,12,Sun 11/28,1:00 PM,Carolina,10,FINAL,80.0,-1.0,-110,0.0,-120.0,-1.5,-110.0,-1.0,-108.0,-1.0,-112.0,-1.0,-110.0,-1.0,-105.0,-1.0,-108.0,-1.0,-111.0,-1.0,-115.0,-1.0,-112.0,-1.0,-125.0
4407387,262,2021,12,,,Miami,33,,20.0,1.0,-110,0.0,100.0,1.5,-110.0,1.0,-103.0,1.0,-108.0,1.0,-110.0,1.0,-115.0,1.0,-108.0,1.0,-109.0,1.0,-105.0,1.0,-108.0,1.0,105.0
4407382,265,2021,12,Sun 11/28,4:05 PM,L.A. Chargers,13,FINAL,0.0,-2.5,-110,-2.5,-117.0,-3.0,-105.0,-2.5,-117.0,-2.5,-121.0,-3.0,-105.0,-2.5,-120.0,-3.0,-103.0,-3.0,-101.0,-3.0,100.0,-2.5,-121.0,-3.0,-105.0
4407382,266,2021,12,,,Denver,28,,100.0,2.5,-110,2.5,-103.0,3.0,-115.0,2.5,105.0,2.5,101.0,3.0,-115.0,2.5,100.0,3.0,-113.0,3.0,-119.0,3.0,-120.0,2.5,101.0,3.0,-115.0
4407376,267,2021,12,Sun 11/28,4:25 PM,Minnesota,26,FINAL,20.0,2.5,-110,4.0,-110.0,4.0,-105.0,4.0,-106.0,4.0,-108.0,4.0,-105.0,3.5,-110.0,4.0,-108.0,4.0,-112.0,4.0,-110.0,4.0,-110.0,3.5,-110.0
4407376,268,2021,12,,,San Francisco,34,,80.0,-2.5,-110,-4.0,-110.0,-4.0,-115.0,-4.0,-105.0,-4.0,-112.0,-4.0,-115.0,-3.5,-110.0,-4.0,-108.0,-4.0,-108.0,-4.0,-110.0,-4.0,-110.0,-3.5,-110.0
4407388,269,2021,12,Sun 11/28,4:25 PM,L.A. Rams,28,FINAL,20.0,1.5,-110,-1.0,-119.0,-1.5,-110.0,-2.0,-102.0,-2.0,-110.0,-2.0,-110.0,-1.5,-110.0,-2.0,-108.0,-2.0,-110.0,-1.5,-115.0,-2.0,-107.0,-1.0,-125.0
4407388,270,2021,12,,,Green Bay,36,,80.0,-1.5,-110,1.0,-101.0,1.5,-110.0,2.0,-109.0,2.0,-110.0,2.0,-110.0,1.5,-110.0,2.0,-108.0,2.0,-110.0,1.5,-105.0,2.0,-113.0,1.0,105.0
4407383,271,2021,12,Sun 11/28,8:20 PM,Cleveland,10,FINAL,55.56,5.0,-110,3.0,-113.0,3.0,-110.0,3.0,-111.0,3.0,-115.0,3.0,-110.0,3.0,-110.0,3.0,-113.0,3.0,-111.0,3.5,-120.0,3.0,-115.0,3.0,-110.0
4407383,272,2021,12,,,Baltimore,16,,44.44,-5.0,-110,-3.0,-107.0,-3.0,-110.0,-3.0,-100.0,-3.0,-105.0,-3.0,-110.0,-3.0,-110.0,-3.0,-103.0,-3.0,-109.0,-3.5,100.0,-3.0,-105.0,-3.0,-110.0
4407385,105,2021,12,Thu 11/25,12:30 PM,Chicago,16,FINAL,42.86,-3.0,-110,-2.5,-105.0,-2.5,-110.0,-2.5,101.0,-2.5,-104.0,-2.5,100.0,-2.5,-110.0,-2.5,-108.0,-2.5,-107.0,-2.5,-115.0,-2.5,101.0,-1.0,-128.0
4407385,106,2021,12,,,Detroit,14,,57.14,3.0,-110,2.5,-115.0,2.5,-110.0,2.5,-113.0,2.5,-116.0,2.5,-120.0,2.5,-110.0,2.5,-108.0,2.5,-113.0,2.5,-105.0,2.5,-121.0,1.0,108.0
4407375,107,2021,12,Thu 11/25,4:30 PM,Las Vegas,36,FINAL OT,50.0,7.0,-110,7.5,-115.0,7.0,-105.0,7.0,-101.0,7.0,-105.0,7.0,-105.0,7.0,-110.0,7.0,-108.0,7.0,-112.0,7.0,100.0,7.0,-105.0,7.0,-110.0
