eid,rotation,season,week,date,time,team,score,outcome,perc,opening_adj,opening_ap,adj_8,ap_8,adj_9,ap_9,adj_10,ap_10,adj_16,ap_16,adj_20,ap_20,adj_28,ap_28,adj_29,ap_29,adj_36,ap_36,adj_44,ap_44,adj_54,ap_54,adj_82,ap_82,adj_84,ap_84,adj_123,ap_123
4642697,481,2022,1,Mon 9/12,8:15 PM,Denver,16,FINAL,20.92,-4.0,-110.0,-6.0,-115.0,-7.0,105.0,-6.0,-111.0,-6.0,-111.0,-6.0,-110.0,-6.0,-110.0,-6.0,-115.0,-6.0,-110.0,-6.0,-108.0,-6.0,-113.0,-6.5,-110.0,-6.0,-110.0,-6.5,-105.0
4642697,482,2022,1,,,Seattle,17,,79.08,4.0,-110.0,6.0,-105.0,7.0,-125.0,6.0,-109.0,6.0,-109.0,6.0,-101.0,6.0,-110.0,6.0,-105.0,6.0,-110.0,6.0,-108.0,6.0,-107.0,6.5,-110.0,6.0,-110.0,6.5,-115.0
4642683,455,2022,1,Sun 9/11,1:00 PM,New Orleans,27,FINAL,21.74,-3.5,-110.0,-5.5,-115.0,-5.5,-110.0,-6.0,-109.0,-6.0,-109.0,-6.0,-110.0,-5.5,-115.0,-5.5,-115.0,-5.5,-110.0,-5.5,-108.0,-5.5,-111.0,13.5,-114.0,-5.5,-115.0,-5.5,-110.0
4642683,456,2022,1,,,Atlanta,26,,78.26,3.5,-110.0,5.5,-105.0,5.5,-110.0,6.0,-111.0,6.0,-111.0,6.0,-100.0,5.5,-105.0,5.5,-105.0,5.5,-110.0,5.5,-108.0,5.5,-109.0,-13.5,-119.0,5.5,-105.0,5.5,-110.0
4642684,453,2022,1,Sun 9/11,1:00 PM,Baltimore,24,FINAL,12.75,-5.0,-115.0,-6.5,-113.0,-6.5,-115.0,-6.5,-110.0,-6.5,-110.0,-6.5,-102.0,-6.5,-113.0,-6.5,-115.0,-6.5,-110.0,-6.5,-108.0,-6.5,-110.0,-20.5,-144.0,-6.5,-108.0,-6.5,-115.0
4642684,454,2022,1,,,N.Y. Jets,9,,87.25,5.0,-105.0,6.5,-107.0,6.5,-105.0,6.5,-110.0,6.5,-110.0,6.5,-108.0,6.5,-107.0,6.5,-105.0,6.5,-110.0,6.5,-108.0,6.5,-110.0,20.5,105.0,6.5,-112.0,6.5,-105.0
4642685,461,2022,1,Sun 9/11,1:00 PM,Pittsburgh,23,FINAL OT,55.7,6.5,-110.0,7.0,-110.0,7.0,-110.0,7.0,-115.0,7.0,-115.0,7.5,-117.0,7.0,-110.0,7.0,-105.0,7.0,-110.0,7.0,-108.0,7.0,-105.0,-2.5,-158.0,7.0,-110.0,7.0,-110.0
4642685,462,2022,1,,,Cincinnati,20,,44.3,-6.5,-110.0,-7.0,-110.0,-7.0,-110.0,-7.0,-106.0,-7.0,-106.0,-7.5,106.0,-7.0,-110.0,-7.0,-115.0,-7.0,-110.0,-7.0,-108.0,-7.0,-115.0,2.5,114.0,-7.0,-110.0,-7.0,-110.0
4642686,457,2022,1,Sun 9/11,1:00 PM,New England,7,FINAL,61.3,3.0,-110.0,3.0,-105.0,3.0,-105.0,3.0,-103.0,3.0,-103.0,3.0,-105.0,3.0,-105.0,3.0,100.0,3.0,100.0,3.0,102.0,3.0,-103.0,10.5,-128.0,3.0,-105.0,3.0,100.0
4642686,458,2022,1,,,Miami,20,,38.7,-3.0,-110.0,-3.0,-115.0,-3.0,-115.0,-3.0,-117.0,-3.0,-117.0,-3.0,-105.0,-3.0,-115.0,-3.0,-120.0,-3.0,-120.0,-3.0,-118.0,-3.0,-117.0,-10.5,-106.0,-3.0,-115.0,-3.0,-120.0
4642687,469,2022,1,Sun 9/11,1:00 PM,Jacksonville,22,FINAL,51.69,3.5,-110.0,3.0,-105.0,3.0,-110.0,3.0,-105.0,3.0,-105.0,3.0,-100.0,3.0,-105.0,3.0,-110.0,3.0,-110.0,3.0,-108.0,3.0,-108.0,2.5,-119.0,3.0,-105.0,3.0,-110.0
4642687,470,2022,1,,,Washington,28,,48.31,-3.5,-110.0,-3.0,-115.0,-3.0,-110.0,-3.0,-115.0,-3.0,-115.0,-3.0,-110.0,-3.0,-115.0,-3.0,-110.0,-3.0,-110.0,-3.0,-108.0,-3.0,-112.0,-2.5,-106.0,-3.0,-115.0,-3.0,-110.0
4642688,463,2022,1,Sun 9/11,1:00 PM,San Francisco,10,FINAL,29.04,-6.5,-110.0,-6.5,-102.0,-6.5,-110.0,-6.0,-110.0,-6.0,-110.0,-6.5,109.0,-6.5,-102.0,-6.5,-110.0,-6.5,-110.0,-6.5,-108.0,-6.5,-105.0,2.5,-117.0,-6.5,-102.0,-6.5,-110.0
4642688,464,2022,1,,,Chicago,19,,70.96,6.5,-110.0,6.5,-118.0,6.5,-110.0,6.0,-110.0,6.0,-110.0,6.5,-120.0,6.5,-118.0,6.5,-110.0,6.5,-110.0,6.5,-108.0,6.5,-115.0,-2.5,-117.0,6.5,-118.0,6.5,-110.0
4642689,459,2022,1,Sun 9/11,1:00 PM,Cleveland,26,FINAL,58.49,-4.5,-110.0,1.5,-110.0,0.0,-110.0,1.5,-110.0,1.5,-110.0,2.5,-117.0,1.5,-110.0,1.5,-110.0,1.5,-110.0,1.5,-108.0,1.5,-110.0,-10.5,-104.0,1.5,-110.0,1.5,-110.0
4642689,460,2022,1,,,Carolina,24,,41.51,4.5,-110.0,-1.5,-110.0,0.0,-110.0,-1.5,-110.0,-1.5,-110.0,-2.5,106.0,-1.5,-110.0,-1.5,-110.0,-1.5,-110.0,-1.5,-108.0,-1.5,-110.0,10.5,-121.0,-1.5,-110.0,-1.5,-110.0
4642690,467,2022,1,Sun 9/11,1:00 PM,Indianapolis,20,FINAL OT,22.53,-8.0,-110.0,-7.0,-105.0,-7.0,-110.0,-7.0,-110.0,-7.0,-110.0,-7.0,-105.0,-7.0,-105.0,-7.0,-115.0,-7.0,-110.0,-7.0,-108.0,-7.0,-108.0,13.5,-120.0,-7.0,-105.0,-7.0,-110.0
