eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4700748,277,2023,6,Mon 10/16,8:15 PM,Dallas,20,FINAL,1538,-1.5,-1.5,-1.5,-1.5,-1.5,-1.0,-1.5,-1.0,-2.0,-2.0,-1.0,-1.5,-2.5,-112.0,-110.0,-115.0,-112.0,-107.0,-115.0,-115.0,-110.0,-108.0,-110.0,-115.0,-110.0,-110.0,46.34,-2.5,-115
4700748,278,2023,6,,,L.A. Chargers,17,,75380,1.5,1.5,1.5,1.5,1.5,1.0,1.5,1.0,2.0,2.0,1.0,1.5,2.5,-108.0,-110.0,-105.0,-108.0,-103.0,-105.0,-105.0,-110.0,-108.0,-110.0,-105.0,-110.0,-120.0,53.66,2.5,-105
4700588,251,2023,6,Sun 10/15,9:30 AM,Baltimore,24,FINAL,1521,-5.5,-4.5,-5.0,-5.0,-5.5,-5.5,-4.5,-5.5,-5.5,-5.0,-5.5,-5.5,-6.0,-112.0,-115.0,-114.0,-106.0,106.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-110.0,-108.0,41.58,-2.5,-110
4700588,252,2023,6,,,Tennessee,16,,1528,5.5,4.5,5.0,5.0,5.5,5.5,4.5,5.5,5.5,5.0,5.5,5.5,6.0,-108.0,-105.0,-106.0,-114.0,-117.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-110.0,-123.0,58.42,2.5,-110
4700736,253,2023,6,Sun 10/15,1:00 PM,Washington,24,FINAL,1537,1.5,2.0,1.5,1.5,1.0,2.0,1.5,1.5,1.5,1.5,2.0,1.5,1.5,-107.0,-110.0,-110.0,-110.0,107.0,-120.0,-105.0,-110.0,-108.0,-110.0,-120.0,-105.0,-111.0,42.5,1.0,-110
4700736,254,2023,6,,,Atlanta,16,,1546,-1.5,-2.0,-1.5,-1.5,-1.0,-2.0,-1.5,-1.5,-1.5,-1.5,-2.0,-1.5,-1.5,-113.0,-110.0,-110.0,-110.0,-118.0,100.0,-115.0,-110.0,-108.0,-110.0,100.0,-115.0,-119.0,57.5,-1.0,-110
4700738,259,2023,6,Sun 10/15,1:00 PM,San Francisco,17,FINAL,1547,-9.5,-9.5,-9.0,-9.0,-8.5,-10.0,-9.5,-9.5,-9.0,-9.0,-10.0,-9.5,-10.0,-110.0,-110.0,-106.0,-106.0,-105.0,100.0,-115.0,-110.0,-108.0,100.0,100.0,-115.0,-104.0,12.38,-3.0,-110
4700738,260,2023,6,,,Cleveland,19,,1520,9.5,9.5,9.0,9.0,8.5,10.0,9.5,9.5,9.0,9.0,10.0,9.5,10.0,-110.0,-110.0,-114.0,-114.0,-106.0,-120.0,-105.0,-110.0,-108.0,-120.0,-120.0,-105.0,-109.0,87.62,3.0,-110
4700739,261,2023,6,Sun 10/15,1:00 PM,New Orleans,13,FINAL,1543,-2.0,-1.5,-1.5,-1.5,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.5,-2.5,-115.0,-110.0,-110.0,-110.0,101.0,-110.0,-115.0,-110.0,-108.0,-116.0,-110.0,-113.0,-112.0,39.29,0.0,-110
4700739,262,2023,6,,,Houston,20,,1530,2.0,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,-105.0,-110.0,-110.0,-110.0,-111.0,-110.0,-105.0,-110.0,-108.0,-104.0,-110.0,-107.0,-118.0,60.71,0.0,-110
4700740,265,2023,6,Sun 10/15,1:00 PM,Carolina,21,FINAL,1545,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,-110.0,-110.0,-105.0,-105.0,-103.0,-110.0,-105.0,-110.0,-108.0,-110.0,-110.0,-110.0,-106.0,89.34,11.5,-110
4700740,266,2023,6,,,Miami,42,,1524,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-110.0,-110.0,-115.0,-115.0,-108.0,-110.0,-115.0,-110.0,-108.0,-110.0,-110.0,-110.0,-105.0,10.66,-11.5,-110
4700741,257,2023,6,Sun 10/15,1:00 PM,Seattle,13,FINAL,1548,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,-110.0,100.0,-102.0,-105.0,-106.0,-105.0,-105.0,-110.0,-108.0,-106.0,-105.0,100.0,-101.0,62.93,2.0,-110
4700741,258,2023,6,,,Cincinnati,17,,1522,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-110.0,-120.0,-118.0,-115.0,-104.0,-115.0,-115.0,-110.0,-108.0,-114.0,-115.0,-120.0,-132.0,37.07,-2.0,-110
4700742,263,2023,6,Sun 10/15,1:00 PM,Indianapolis,20,FINAL,1527,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,-110.0,-110.0,-103.0,-103.0,101.0,-110.0,-110.0,-110.0,-113.0,-116.0,-110.0,-110.0,-108.0,63.84,5.5,-110
4700742,264,2023,6,,,Jacksonville,37,,1529,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.5,-110.0,-110.0,-117.0,-117.0,-111.0,-110.0,-110.0,-110.0,-103.0,-104.0,-110.0,-110.0,-123.0,36.16,-5.5,-110
4700743,255,2023,6,Sun 10/15,1:00 PM,Minnesota,19,FINAL,1541,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-115.0,-115.0,-110.0,-110.0,-103.0,-115.0,-115.0,-115.0,-108.0,-113.0,-115.0,-115.0,-110.0,57.9,-4.0,-110
4700743,256,2023,6,,,Chicago,13,,1540,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-105.0,-105.0,-110.0,-110.0,-108.0,-105.0,-105.0,-105.0,-108.0,-107.0,-105.0,-105.0,-103.0,42.1,4.0,-110
4700744,269,2023,6,Sun 10/15,4:05 PM,New England,17,FINAL,1525,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-123.0,-120.0,-117.0,-117.0,-112.0,-120.0,-115.0,-115.0,-108.0,-114.0,-120.0,-120.0,-111.0,68.7,0.0,-105
4700744,270,2023,6,,,Las Vegas,21,,1533,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,103.0,100.0,-103.0,-103.0,101.0,100.0,-105.0,-105.0,-108.0,-106.0,100.0,100.0,-101.0,31.3,0.0,-115
