eid,rotation,season,week,date,time,team,score,outcome,partid,adj_8,adj_9,adj_10,adj_16,adj_20,adj_28,adj_29,adj_36,adj_44,adj_54,adj_82,adj_84,adj_123,adj_127,ap_8,ap_9,ap_10,ap_16,ap_20,ap_28,ap_29,ap_36,ap_44,ap_54,ap_82,ap_84,ap_123,ap_127,perc,opening_adj,opening_ap
4742198,397,2024,19,Mon 1/13,8:15 PM,Minnesota,9,FINAL,1541,-2.0,-2.0,-2.0,-2.0,-2.5,-2.0,-2.0,-2.0,-2.0,-2.0,-2.5,-2.0,-2.5,-2.5,-110.0,-110.0,-110.0,-110.0,102.0,-104.0,-110.0,-118.0,-108.0,-110.0,-110.0,-104.0,-110.0,105.0,44.89,-2.0,-110
4742198,398,2024,19,,,L.A. Rams,27,,1550,2.0,2.0,2.0,2.0,2.5,2.0,2.0,2.0,2.0,2.0,2.5,2.0,2.5,2.5,-110.0,-110.0,-110.0,-110.0,-113.0,-116.0,-110.0,-118.0,-108.0,-110.0,-110.0,-116.0,-110.0,-125.0,55.11,2.0,-110
4742193,379,2024,19,Sun 1/12,1:00 PM,Denver,7,FINAL,1534,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.0,7.5,7.5,8.5,-105.0,-105.0,-110.0,-110.0,-106.0,-115.0,-105.0,-118.0,-108.0,-108.0,-110.0,-115.0,-110.0,-110.0,68.52,8.5,-107
4742193,380,2024,19,,,Buffalo,31,,1526,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-8.0,-7.5,-7.5,-8.5,-115.0,-115.0,-110.0,-110.0,-104.0,-105.0,-115.0,-118.0,-108.0,-112.0,-110.0,-105.0,-110.0,-110.0,31.48,-8.5,-113
4742196,381,2024,19,Sun 1/12,4:30 PM,Green Bay,10,FINAL,1542,5.5,5.5,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,5.5,5.0,5.5,5.5,-110.0,-110.0,-105.0,-105.0,-107.0,-115.0,-105.0,-118.0,-108.0,-106.0,-110.0,-115.0,-110.0,-102.0,58.27,4.0,-105
4742196,382,2024,19,,,Philadelphia,22,,1536,-5.5,-5.5,-5.5,-5.5,-5.5,-5.0,-5.5,-5.5,-5.5,-5.5,-5.5,-5.0,-5.5,-5.5,-110.0,-110.0,-115.0,-115.0,-103.0,-105.0,-115.0,-118.0,-108.0,-114.0,-110.0,-105.0,-110.0,-118.0,41.73,-4.0,-115
4742197,383,2024,19,Sun 1/12,8:15 PM,Washington,23,FINAL,1537,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-114.0,-110.0,-105.0,-105.0,-107.0,-104.0,-110.0,-118.0,-108.0,-105.0,-115.0,-104.0,-110.0,100.0,48.19,3.0,100
4742197,384,2024,19,,,Tampa Bay,20,,1544,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-106.0,-110.0,-115.0,-115.0,-103.0,-116.0,-110.0,-118.0,-108.0,-115.0,-105.0,-116.0,-110.0,-120.0,51.81,-3.0,-120
4742194,375,2024,19,Sat 1/11,4:30 PM,L.A. Chargers,12,FINAL,75380,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3.0,-120.0,-120.0,-120.0,-120.0,-112.0,-120.0,-105.0,-138.0,-118.0,-121.0,-125.0,-120.0,-120.0,100.0,38.26,-3.0,100
4742194,376,2024,19,,,Houston,32,,1530,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.5,2.5,2.5,2.5,2.5,2.5,3.0,100.0,100.0,100.0,100.0,102.0,100.0,-115.0,100.0,102.0,101.0,105.0,100.0,100.0,-120.0,61.74,3.0,-120
4742195,377,2024,19,Sat 1/11,8:00 PM,Pittsburgh,14,FINAL,1519,9.5,9.0,9.0,9.0,9.5,8.0,9.0,8.5,8.0,8.0,9.0,8.5,9.5,9.5,-116.0,-115.0,-115.0,-115.0,-118.0,-110.0,-110.0,-118.0,-108.0,-110.0,-115.0,-110.0,-119.0,-105.0,59.88,9.5,-115
4742195,378,2024,19,,,Baltimore,28,,1521,-9.5,-9.0,-9.0,-9.0,-9.5,-8.0,-9.0,-8.5,-8.0,-8.0,-9.0,-8.5,-9.5,-9.5,-104.0,-105.0,-105.0,-105.0,107.0,-110.0,-110.0,-118.0,-108.0,-110.0,-105.0,-110.0,-101.0,-115.0,40.12,-9.5,-105
